note,geometry,amenity,wheelchair,source,name,fixme,addr:city,addr:housenumber,addr:street,operator,historic,website,nodes,addr:housename,addr:postcode,alt_name,branch,brand,brand:wikidata,brand:wikipedia,building,building:levels,building:levels:underground,description,fhrs:id,fhrs:local_authority_id,internet_access,internet_access:fee,internet_access:operator,internet_access:ssid,old_name,tourism,architect,bar,check_date,start_date,wikidata,wikipedia,atm,contact:facebook,contact:instagram,email,opening_hours,phone,smoking,stars,nohousenumber,fhrs:confidence_management,fhrs:hygiene,fhrs:rating,fhrs:structural,loc_name,postal_code,source:postcode,rooms,source:addr,building:material,roof:levels,building:colour,roof:colour,contact:email,contact:linkedin,contact:phone,contact:website,contact:youtube,name:fr,toilets:wheelchair,addr:country,fax,roof:material,roof:shape,name:en,name:ja,survey:date,name:fa,building:architecture,layer,name:zh,source:building,owner,he:inscription_date,heritage,heritage:operator,heritage:website,historic:amenity,historic:name,listed_status,ref:he,fhrs:authority,fhrs:inspectiondate,contact:fax,addr:county,addr:suburb,ref,cuisine,food,outdoor_seating,toilets,toilets:access,official_name,disused:name,disused:tourism,fhrs:name,source:addr:postcode,building:part,contact:twitter,source:rooms,roof:orientation,wheelchair:description,not:addr:postcode,opening_date,ref:GB:uprn,breakfast,source:addr:housenumber,accommodation,indoor_seating,height,air_conditioning,construction,not:brand:wikidata,swimming_pool,ways,type,name:es
,"POLYGON ((-0.2113481 51.4681123, -0.211475 51.4679999, -0.2106688 51.4677938, -0.2105456 51.4679071, -0.2106124 51.4679259, -0.2105417 51.4679891, -0.2105233 51.4679814, -0.2104563 51.4680364, -0.2105002 51.4680569, -0.2104702 51.4680828, -0.210511 51.4681016, -0.2107667 51.4682159, -0.2108833 51.4681147, -0.2107953 51.4680744, -0.2108821 51.4679951, -0.2110552 51.4680386, -0.2113481 51.4681123))",,yes,,Premier Inn,,London,3-5,Putney Bridge Approach,,,,"[53270773, 53270775, 53270763, 53270764, 53270766, 8373553852, 8373553853, 8376655168, 8376655167, 53270768, 1161153388, 53270769, 53270770, 53270771, 53270772, 8376655176, 53270773]",Premier Inn London Putney Bridge,SW6 3JD,Premier Inn London Putney Bridge,London Putney Bridge,Premier Inn,Q2108626,en:Premier Inn,hotel,7,1,It has a partially underground car park. Floors 1-6 are the rooms floors & need a swipe card in the lifts. floor 0 has the reception & a restaurant & bar which serves coffee of the brand Costa. -1 has a partially underground car park & is public.,345423,02757/0003/1/000,wlan,customers,Virgin Media,Premier Inn Free Wi-Fi,Bridge House,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0201197 51.6752682, -0.0197742 51.6752475, -0.0197497 51.6754042, -0.0195266 51.6753878, -0.0195486 51.6752311, -0.019327 51.6752191, -0.0192495 51.6757012, -0.0190069 51.6756862, -0.0190851 51.6752071, -0.0189517 51.6751946, -0.0189809 51.6750074, -0.0201495 51.6750776, -0.0201197 51.6752682))",,,,Premier Inn,,Enfield,,Solar Way,,,,"[112077445, 112077446, 112077447, 112077448, 112077449, 1586229958, 1586229949, 1586229918, 1586229981, 112077450, 112077452, 112077453, 112077445]",,EN3 7XY,,,Premier Inn,Q2108626,en:Premier Inn,hotel,,,,,,wlan,customers,Virgin Media,Premier Inn Free Wi-Fi,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1246095 51.5302803, -0.1244732 51.5301148, -0.1247844 51.530018, -0.1249174 51.5299766, -0.1252802 51.5298637, -0.125798 51.5297026, -0.1257708 51.5296686, -0.1259989 51.5296111, -0.1260168 51.529638, -0.1260441 51.5296075, -0.1260683 51.5295572, -0.1260715 51.5295053, -0.1260475 51.5294437, -0.1260162 51.5294015, -0.1259631 51.5293511, -0.1259452 51.5293283, -0.1259921 51.5293117, -0.1259771 51.5292939, -0.1261352 51.529229, -0.1261688 51.5292688, -0.1262191 51.5292524, -0.1262329 51.5292644, -0.1262455 51.52926, -0.1263177 51.5293374, -0.1263543 51.5294501, -0.1263934 51.5296455, -0.1264816 51.5300065, -0.1263473 51.5300151, -0.1263797 51.530054, -0.1264257 51.5300375, -0.1264601 51.530047, -0.1265027 51.5300699, -0.1265852 51.5303631, -0.1263581 51.5304003, -0.1261143 51.530473, -0.1256796 51.5299383, -0.1254293 51.5300183, -0.1250443 51.5301413, -0.1249112 51.5301839, -0.1247197 51.5302451, -0.1246095 51.5302803))",,,,St Pancras Renaissance London Hotel,,London,,Euston Road,Marriott,,https://www.marriott.co.uk/hotels/travel/lonpr-st-pancras-renaissance-hotel-london/,"[25502087, 156679192, 8246675017, 4765030011, 8246675021, 1243237604, 1243237921, 156679193, 1243237821, 1243237528, 156679195, 156679197, 156679200, 1243237510, 156679201, 1243237534, 1243237408, 156679202, 156679203, 1243238152, 156679205, 1243238132, 1243237797, 156679206, 156679208, 156679209, 1243237622, 1243238123, 1243237862, 1243238073, 1243237923, 1243237669, 1243237857, 156679214, 156679215, 156679217, 8246675022, 8246675023, 8246675018, 1243237594, 25502087]",,NW1 2AR,,,Marriott,Q1141173,en:Marriott International,hotel,,,,,,,,,,,hotel,George Gilbert Scott,yes,2022-12-03,1873,Q7590892,en:St. Pancras Renaissance London Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building houses two different hotels,"POLYGON ((0.0224523 51.5079635, 0.0224408 51.5074994, 0.0234291 51.50749, 0.0234406 51.507954, 0.0232622 51.5079557, 0.0226145 51.5079619, 0.0224523 51.5079635))",,,,,,London,7-9,Western Gateway,,,,"[244887701, 244887703, 244887704, 244887705, 6940372051, 6940372050, 244887701]",,E16 1AA,,,,,,hotel,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4421764 51.4586876, -0.4412095 51.4593329, -0.4411362 51.4590121, -0.4410598 51.4586811, -0.4420407 51.458044, -0.4420803 51.4582317, -0.4421284 51.4584601, -0.4421764 51.4586876))",,yes,,Hilton London Heathrow Airport,,Hounslow,,Terminal 4,Hilton Hotels and Resorts,,https://www.hilton.com/en/hotels/lhraptw-hilton-london-heathrow-airport/,"[246237554, 1214864873, 1214864883, 246237557, 246237558, 2980983558, 2980983564, 246237554]",,TW6 3AF,,,Hilton,Q598884,en:Hilton Hotels & Resorts,hotel,4,,,,,,,,,,hotel,,,,,Q55618967,,yes,HiltonHeathrowAirport,https://www.instagram.com/hiltonheathrowairport/,info.heathrow@hilton.com,24/7,+44 20 8759 7755,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifts: Hammond & Champness branded as Thyssen (from when thyssen bought up H+C),"POLYGON ((-0.4073873 51.4492577, -0.4073531 51.4493104, -0.4073923 51.4493208, -0.4073268 51.4494162, -0.4072968 51.44941, -0.4070105 51.4498068, -0.4068161 51.4497531, -0.4070001 51.4494719, -0.4062068 51.4492541, -0.4062979 51.4491278, -0.4066522 51.4492199, -0.4067878 51.4490266, -0.4069971 51.4490844, -0.4068704 51.4492737, -0.4071073 51.4493362, -0.4071945 51.4492045, -0.4073873 51.4492577))",,,,St Giles Hotel,,Feltham,4,Hounslow Road,,,,"[247462396, 7012168661, 7012168652, 7012168653, 7012168662, 247462398, 247462356, 7012168663, 247462355, 247462399, 7012168651, 7012168657, 7012168658, 7012168654, 2593080852, 2593080851, 247462396]",Astronaut House,TW14 9AD,,,,,,hotel,,,,489918,10678,,,,,,hotel,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4335085 51.4809709, -0.4335153 51.4809923, -0.4334658 51.4810018, -0.4333766 51.4810375, -0.4333061 51.481087, -0.4332596 51.4811464, -0.4332407 51.4812114, -0.4332506 51.4812772, -0.4332886 51.4813389, -0.433352 51.481392, -0.4334359 51.4814324, -0.4335343 51.4814572, -0.4336398 51.4814645, -0.4337446 51.4814539, -0.4338408 51.4814261, -0.4339214 51.4813831, -0.4339804 51.4813281, -0.4340135 51.4812653, -0.4340181 51.4811993, -0.4339939 51.4811349, -0.4339427 51.481077, -0.4338683 51.4810299, -0.4337763 51.4809969, -0.4336734 51.4809807, -0.4336739 51.4809606, -0.4336322 51.4809608, -0.4335907 51.4809626, -0.4335494 51.480966, -0.4335085 51.4809709))",,,,Best Western London Heathrow Ariel Hotel,,"Harlington, Hayes",118,Bath Road,,,,"[4386362111, 249855845, 4386362113, 249855847, 4386362115, 4386362116, 4386362118, 249855848, 4386362120, 249855850, 4386362121, 249855851, 249855836, 4386362122, 249855837, 249855838, 4386362119, 249855840, 4386362117, 249855841, 4386362114, 249855842, 4386362112, 249855844, 4386362107, 4386362108, 4386362109, 4386362110, 4386362111]",,UB3 5AJ,,,Best Western,,en:Best Western,hotel,4,,,,,,,,,Holiday Inn London - Heathrow Ariel,hotel,,,,,Q20876001,en:Ariel Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4564513 51.4948877, -0.4565975 51.4947715, -0.4562441 51.4945927, -0.4566002 51.49431, -0.4564892 51.4942527, -0.456653 51.4941306, -0.4564414 51.4940226, -0.456284 51.4941354, -0.4560493 51.4940144, -0.456111 51.4939718, -0.4558261 51.4938304, -0.4555947 51.494001, -0.4556657 51.4940394, -0.4554579 51.4942014, -0.4553653 51.4941546, -0.455221 51.4942684, -0.4553506 51.4943333, -0.4552594 51.4944051, -0.4555595 51.4945615, -0.4554819 51.4946279, -0.4554659 51.4946414, -0.4554579 51.4946623, -0.4554599 51.4946815, -0.455476 51.4947028, -0.4554959 51.4947166, -0.4553184 51.4948493, -0.4555155 51.4949395, -0.4556859 51.4948134, -0.4559457 51.4949447, -0.4561056 51.4948134, -0.4561177 51.4948201, -0.4561197 51.4948456, -0.4561418 51.4948602, -0.4561687 51.4948714, -0.4562042 51.4948781, -0.4562397 51.4948781, -0.4562726 51.4948723, -0.4562967 51.4948627, -0.4563128 51.4948485, -0.4563075 51.4948351, -0.456292 51.4948247, -0.4563052 51.4948145, -0.4564513 51.4948877))",,,,,,,,,,,,"[252146102, 252146103, 252146104, 252146105, 252146106, 252146107, 252146109, 8944198064, 8944198065, 8944198066, 252146110, 8944198067, 8944198068, 8944198069, 8944198070, 252146111, 8944198071, 8944198072, 252146112, 8157413377, 8944198048, 8944198049, 8944198050, 8944198051, 252146113, 8944198073, 8944198074, 8944198075, 252146114, 8944198063, 8944198062, 8944198052, 8944198053, 8944198054, 8944198055, 8944198056, 8944198057, 8944198058, 8944198059, 8944198060, 8944198061, 252146115, 252146102]",,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4501072 51.4830543, -0.4499074 51.4829382, -0.4504147 51.4825812, -0.4504162 51.4825407, -0.4498419 51.4822154, -0.4500227 51.4820918, -0.4507488 51.4824732, -0.4508669 51.4824673, -0.451553 51.4824939, -0.4515623 51.4823836, -0.4515409 51.4823811, -0.4515851 51.4819292, -0.4517522 51.48193, -0.4522508 51.4822735, -0.4521761 51.4822738, -0.4521658 51.4823716, -0.4522438 51.4823764, -0.4522343 51.4825149, -0.4522248 51.4826533, -0.4515265 51.4826375, -0.4515226 51.4827121, -0.4516899 51.4827251, -0.452087 51.4829892, -0.4519098 51.4830922, -0.4515988 51.4828984, -0.451708 51.482838, -0.451627 51.4827585, -0.4515202 51.4827588, -0.4515022 51.4831051, -0.4521343 51.4831238, -0.4521269 51.4832542, -0.4514805 51.4832383, -0.451453 51.4836839, -0.4520721 51.4836937, -0.4520713 51.4838503, -0.4506488 51.4837904, -0.4506549 51.4836563, -0.4512359 51.483678, -0.4512695 51.4832278, -0.4508275 51.4832147, -0.4508601 51.4828534, -0.4509681 51.4828591, -0.4509706 51.482745, -0.4513092 51.482753, -0.4513123 51.4826826, -0.4507391 51.4826665, -0.4501072 51.4830543))",,,,Radisson Red London Heathrow,,,,Bath Road,,,https://www.radissonhotels.com/en-us/hotels/radisson-conference-london-heathrow,"[252859043, 252859047, 2749403497, 252859048, 252859049, 252859050, 2749411203, 252860754, 2749403501, 2749403512, 2749403518, 2749403529, 2749403525, 2749403527, 2749404743, 2749404739, 2749404737, 7464572505, 252860762, 252860755, 2749411208, 2749411200, 2749411212, 2749411199, 2749411202, 2749411198, 2749411191, 2749411209, 252860756, 252860757, 252860758, 252860759, 252860760, 252860761, 252860743, 252860744, 252860745, 252860746, 252860747, 252860748, 252860749, 2749411196, 2749411215, 252860750, 252860751, 252860753, 252859043]",,,,,,,,hotel,,,,,,,,,,,hotel,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1968825 51.3619559, -0.1966337 51.3620143, -0.1966143 51.3619853, -0.1964875 51.3620164, -0.1964057 51.3618905, -0.1965043 51.3618679, -0.1964407 51.3617664, -0.1962338 51.3618132, -0.1961766 51.3617298, -0.1963921 51.3616814, -0.1963524 51.3616121, -0.1963141 51.3615957, -0.1961684 51.3615991, -0.196165 51.3615467, -0.1960649 51.3615497, -0.19606 51.3614841, -0.1961579 51.3614822, -0.1961579 51.3614327, -0.1964497 51.3614263, -0.1965915 51.3614847, -0.1968825 51.3619559))",,,,,,,,,,,,"[266756485, 266756486, 1128906842, 1128906844, 1129680587, 1129680963, 266756487, 266943540, 1129680324, 8993763813, 8993763812, 266756491, 266756492, 1675658968, 1675658970, 1675658942, 1675658996, 266756493, 266756494, 266756495, 266756485]",,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
