geometry,source,name,name:en,tourism,nodes,landuse,website,access,addr:postcode,addr:street,drinking_water,fee,internet_access,operator,scout,shower,toilets,url,note,source:name,natural,caravans,tents,toilets:wheelchair,capacity,addr:city,addr:country,dryer,motorhome,nudism,old_name,power_supply,sauna,washing_machine,addr:county,dog,email,sanitary_dump_station,alt_name,ways,addr:housename,type
POINT (-0.418889 51.5404127),,Parking space. Sleep rough...,Parking space. Sleep rough...,camp_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0743078 51.4368149, -0.0729063 51.4364198, -0.0723447 51.4371665, -0.0713819 51.4368547, -0.0709792 51.4372027, -0.0705965 51.4376393, -0.072525 51.4386388, -0.0739035 51.4372879, -0.0743078 51.4368149))",,South London Scout Centre,,camp_site,"[1586195108, 1586195106, 1586195114, 1586195110, 1586195123, 1586195168, 1586195171, 1586195134, 1586195108]",grass,https://www.slsc-thefort.org.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1303986 51.6063046, -0.1303584 51.6063405, -0.1302395 51.6064468, -0.1298983 51.6067518, -0.1298013 51.6068384, -0.1298536 51.6068729, -0.1301839 51.6070907, -0.1298767 51.6073145, -0.1292787 51.60798, -0.1289347 51.607871, -0.1292173 51.607543, -0.1288482 51.607418, -0.1282125 51.6072026, -0.128046 51.6070994, -0.1279055 51.6070123, -0.1281302 51.6067937, -0.1282027 51.6067232, -0.1278997 51.6065751, -0.1278477 51.6065497, -0.1277573 51.6064881, -0.1277137 51.6064585, -0.1274865 51.6063037, -0.1274299 51.6062031, -0.1277209 51.6060088, -0.1282362 51.6056647, -0.1287354 51.6059793, -0.1290001 51.6058655, -0.1295233 51.605527, -0.1297295 51.6056516, -0.1300162 51.6054736, -0.1308655 51.6060008, -0.1311353 51.6061683, -0.1308115 51.6064726, -0.1303986 51.6063046))",,Scout Park,,camp_site,"[1960865152, 8503935128, 4270619429, 4270616819, 1960865142, 8503935126, 1960865136, 4270616824, 1960865143, 1960865147, 613577782, 4270616825, 4270616821, 4270616823, 613577787, 4270616820, 4270616818, 4270619433, 4270619313, 4077288244, 4270619428, 1960865150, 1960865145, 1960865132, 1960865139, 613577711, 4270619286, 613577713, 613577717, 1960865156, 5001713216, 1960865138, 1960865154, 1960865152]",,,private,N11 2PB,Gordon Road,yes,yes,wlan,North London Scout District,yes,yes,yes,http://www.londonscouts.org.uk,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.015731 51.3338673, -0.017257 51.3331155, -0.0178074 51.3329354, -0.0200945 51.3317387, -0.0210759 51.3317575, -0.0220473 51.3319202, -0.0228284 51.3320203, -0.0236295 51.3321579, -0.0241402 51.3324645, -0.0245097 51.3328403, -0.0244357 51.3329723, -0.0243227 51.3331833, -0.0241317 51.3335713, -0.0239727 51.3337833, -0.0238527 51.3339453, -0.0237977 51.3340223, -0.0237597 51.3341023, -0.0237247 51.3342343, -0.0237227 51.3342633, -0.0237287 51.3342953, -0.0237727 51.3344293, -0.0238327 51.3346343, -0.0239427 51.3349953, -0.0239487 51.3350193, -0.0239527 51.3350623, -0.0239517 51.3350813, -0.0239437 51.3351283, -0.0239317 51.3351493, -0.0237837 51.3353343, -0.0236677 51.3354643, -0.0234177 51.3357143, -0.0232557 51.3358743, -0.0230317 51.3361113, -0.0226497 51.3365453, -0.0225027 51.3366883, -0.0223937 51.3367993, -0.0237361 51.3372394, -0.0236282 51.3374419, -0.0234318 51.3376993, -0.0231239 51.3380479, -0.0229618 51.3381588, -0.0228541 51.3385858, -0.022914 51.3387225, -0.0230082 51.3388147, -0.0226344 51.3390626, -0.0225248 51.3391355, -0.0214339 51.3383723, -0.0209354 51.3380698, -0.0208521 51.3380193, -0.0205645 51.3378188, -0.0199677 51.3373809, -0.0183497 51.3361107, -0.0179259 51.3357853, -0.0175698 51.3355361, -0.0172814 51.3352481, -0.0168186 51.3348072, -0.0164444 51.3344617, -0.0161704 51.3342349, -0.0159454 51.334042, -0.015731 51.3338673))",,Frylands Wood Scout Outdoor Centre,,camp_site,"[2786642542, 1267551446, 2786642484, 2786642420, 2786642423, 2786642429, 2786642435, 2786642440, 2786642459, 1267550357, 1267551655, 1267551524, 1267552535, 1267551728, 1267552087, 1267551976, 1267551067, 1267551764, 1267552329, 1267552697, 1267551913, 1267550200, 1267551825, 1267551477, 1267552998, 1267552490, 1267551416, 1267551455, 1267552059, 1267552544, 1267549994, 1267551342, 1267552244, 1267552550, 1267552882, 1267552173, 2269905046, 2269905078, 34054693, 2269905173, 1934455555, 2269905316, 2269905344, 2269905387, 2269905457, 2786642867, 2269905235, 6328673367, 2786642857, 2786642833, 2786642802, 1267551421, 1267551440, 1267551451, 1267552389, 1267550505, 2786642591, 2786642575, 2786642559, 2786642542]",,,,,,,,,,yes,,,,"Rough boundary only, based on survey & guesswork",survey,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0361007 51.3384211, -0.0360088 51.3393317, -0.0360297 51.3396187, -0.0359943 51.3399731, -0.0359935 51.3403067, -0.0360214 51.3405303, -0.0360503 51.3406626, -0.0360654 51.3409702, -0.0360071 51.3413613, -0.0358775 51.3417702, -0.035665 51.3422133, -0.0355922 51.3423859, -0.0355747 51.3423863, -0.035568 51.3423965, -0.0355623 51.3424266, -0.0355552 51.3424637, -0.0353881 51.3423954, -0.0353606 51.3423666, -0.0353592 51.3423324, -0.0354051 51.3421812, -0.0353909 51.3419645, -0.0353521 51.341857, -0.0353467 51.3415293, -0.0353428 51.3414854, -0.0353333 51.3412252, -0.0351838 51.3410492, -0.0349849 51.3404667, -0.0349309 51.3399673, -0.0347995 51.3399236, -0.0346012 51.3398957, -0.0345658 51.3398739, -0.0340299 51.3386416, -0.0333623 51.3375213, -0.0336999 51.3376071, -0.0343046 51.3379992, -0.0345201 51.3380835, -0.0348056 51.338011, -0.0350257 51.3380685, -0.0353091 51.3381288, -0.0355506 51.3381884, -0.0357819 51.3382629, -0.0361072 51.3382985, -0.0361007 51.3384211))",OS VectorMap District,Bears Wood Scout Campsite,,camp_site,"[34054513, 2269905527, 2269905599, 2269905731, 2269905880, 2269905982, 2269906009, 2269906065, 34054512, 2269906185, 2269906215, 2269906224, 2269906227, 2269906232, 1541663207, 89450577, 2269906229, 34054684, 2269906218, 2269906212, 3377113733, 3377113732, 2269906176, 2269906155, 2269906147, 2269906123, 3377113720, 2269906070, 2269906048, 3377113713, 2269905729, 3377113712, 3377113706, 3377113707, 3377113709, 3377113710, 2269905168, 2269905180, 2269905192, 2269905207, 2269905217, 3377113711, 34054513]",,,,,,,,,,yes,,,,,,wood,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1292805 51.6061813, -0.1292488 51.6061413, -0.1292652 51.6061362, -0.1292293 51.6060908, -0.1291848 51.6061044, -0.1291597 51.6060727, -0.1291338 51.6060401, -0.1288152 51.6060334, -0.128685 51.6060743, -0.1288054 51.6062186, -0.12892 51.606214, -0.1291079 51.6062065, -0.1291759 51.6062133, -0.1292805 51.6061813))",,Training Field,,camp_site,"[3999500659, 3999500668, 4270619310, 4270619306, 4270619307, 4270619304, 4270619302, 4270619301, 4270619305, 4270619409, 4270619407, 4270619406, 9801873210, 3999500659]",,,,,,yes,yes,wlan,,,yes,yes,,,,,no,yes,yes,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1302665 51.6063403, -0.1302395 51.6064468, -0.1298983 51.6067518, -0.1293577 51.6064783, -0.1295943 51.6063564, -0.1302665 51.6063403))",,Scout Field,,camp_site,"[5001713200, 4270619429, 4270616819, 5001713202, 5001713201, 5001713200]",,,,,,yes,yes,,Scout Park,,yes,yes,,,,,no,yes,yes,120,,,,,,,,,,,,,,,,,
"POLYGON ((-0.128046 51.6070994, -0.1283883 51.6069119, -0.1286538 51.6067076, -0.1289192 51.6070158, -0.1288482 51.607418, -0.1282125 51.6072026, -0.128046 51.6070994))",,The Arena,,camp_site,"[4270616823, 5001713211, 5001713210, 5001713212, 4270616825, 4270616821, 4270616823]",,,,,,yes,yes,no,Scout Park,,yes,yes,,,,,no,yes,yes,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1281302 51.6067937, -0.1284951 51.6067255, -0.1285845 51.6066449, -0.1283846 51.6065464, -0.1281313 51.6064067, -0.1278997 51.6065751, -0.1282027 51.6067232, -0.1281302 51.6067937))",,The Paddock,,camp_site,"[4270616820, 5001713204, 5001713205, 5001713207, 4270619426, 4270619433, 4270616818, 4270616820]",,,,,,yes,yes,no,,,yes,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1308115 51.6064726, -0.1303986 51.6063046, -0.1303529 51.6061126, -0.1305514 51.6060193, -0.1306962 51.6061126, -0.1308655 51.6060008, -0.1311353 51.6061683, -0.1308115 51.6064726))",,Cub Field,,camp_site,"[1960865154, 1960865152, 5001713213, 5001713214, 5001713215, 5001713216, 1960865138, 1960865154]",,,,,,yes,yes,,Scout Park,,yes,yes,,,,,,,yes,50,,,,,,,,,,,,,,,,,
