barrier,geometry,dog,leisure,wheelchair,building,nodes,name,description,operator,source,area,surface,website,landuse,access
,POINT (-0.1009815 51.5382575),,dog_park,yes,,,,,,,,,,,
fence,POINT (-0.0560675 51.4856153),,dog_park,,,,,,,,,,,,
,POINT (-0.0122121 51.5089891),,dog_park,,,,,,,,,,,,
,"POLYGON ((0.220882 51.5927248, 0.2218712 51.5929664, 0.2221925 51.5925174, 0.221257 51.5922602, 0.2211619 51.5923331, 0.220882 51.5927248))",,dog_park,,,"[31813088, 9212055115, 32045786, 31813091, 9212083918, 31813088]",Whitelands Dog Walking Area,,,,,,,,
,"POLYGON ((-0.2178608 51.4955887, -0.2172576 51.4953943, -0.2173508 51.4952938, -0.2176955 51.4953944, -0.2178093 51.4954275, -0.2180008 51.495461, -0.2179734 51.495466, -0.2178608 51.4955887))",,dog_park,,,"[285946419, 285946632, 285946421, 9163043925, 9163043924, 285946633, 9163043927, 285946419]",,,,,,,,,
,"POLYGON ((-0.1218147 51.4470347, -0.121817 51.447021, -0.121896 51.4464807, -0.121921 51.4463927, -0.121927 51.4463525, -0.1219281 51.4463445, -0.1218973 51.446385, -0.1217811 51.4464467, -0.121731 51.4464889, -0.1217014 51.4466174, -0.1216733 51.4466428, -0.1215952 51.4466712, -0.1214279 51.4467311, -0.1214026 51.4467555, -0.1213811 51.4467796, -0.1216271 51.4471789, -0.1216395 51.447199, -0.1216425 51.4472039, -0.1217235 51.4472017, -0.1217655 51.4471867, -0.1217941 51.4471594, -0.1218131 51.4470448, -0.1218147 51.4470347))",,dog_park,,,"[289923394, 9261750476, 2028983660, 8461565453, 9263171381, 9263171379, 8461664006, 289923372, 289923373, 289923374, 9263171378, 289923376, 8461565451, 9263171377, 289923378, 8461565452, 9261750474, 115969287, 289923393, 8461565454, 115969289, 9261750471, 289923394]",,Dog exercise area,,,,,,,
,"POLYGON ((-0.2404404 51.4987733, -0.2403154 51.4985654, -0.2409787 51.4984199, -0.2411405 51.4983454, -0.2412538 51.498231, -0.2414596 51.4981416, -0.2415597 51.4981254, -0.2415657 51.4981634, -0.2416196 51.4985034, -0.2413964 51.4985465, -0.2414142 51.4985791, -0.2404404 51.4987733))",,dog_park,limited,,"[1174142917, 1174142729, 1174142993, 1174143072, 1174142829, 1174143126, 1174142868, 9975330730, 185730720, 8915878510, 8915878511, 1174142917]",,,,,,,,,
,"POLYGON ((-0.2084514 51.4910741, -0.2084623 51.4910975, -0.2088156 51.4910384, -0.208719 51.4908205, -0.2083537 51.4908731, -0.2084129 51.4909983, -0.2084514 51.4910741))",,dog_park,,,"[1235704950, 1757633196, 1757633125, 1757632804, 1757632894, 1235705139, 1235704950]",Gwendwr Gardens Dog Exercise Area,,Hammersmith and Fulham Council,Bing;survey,,,,,
fence,"POLYGON ((-0.0373615 51.5980586, -0.0373977 51.5981627, -0.0374967 51.5984558, -0.0362205 51.5985755, -0.0360457 51.5978685, -0.0368 51.5977742, -0.0370709 51.5979098, -0.0371178 51.5979336, -0.0373615 51.5980586))",,dog_park,,,"[250420470, 5265837577, 251448714, 250420449, 250420453, 250420469, 2257738067, 2257593169, 250420470]",,,,,,,,,
,"POLYGON ((-0.0107745 51.6263934, -0.0108107 51.6261491, -0.011061 51.6261634, -0.0113184 51.6261781, -0.0112822 51.6264224, -0.0107745 51.6263934))",,dog_park,,,"[2348565631, 2348565627, 6488539005, 2348565628, 308974707, 2348565631]",,,,,,,,,
fence,"POLYGON ((-0.1910356 51.5318252, -0.1910799 51.5318072, -0.1910893 51.5317645, -0.1910849 51.5317054, -0.1910368 51.5316408, -0.1909686 51.5316225, -0.1908013 51.5316498, -0.1906007 51.5316793, -0.1906867 51.5318538, -0.1908788 51.53181, -0.19094 51.5318114, -0.190995 51.5318237, -0.1910356 51.5318252))",,dog_park,,,"[2532779907, 2532779884, 2532779860, 6638728305, 2532779836, 727367116, 2532779827, 727367081, 2532779900, 2532779889, 2532779891, 6638728346, 2532779907]",,,,,,,,,
hedge,"POLYGON ((-0.1921859 51.5286731, -0.1920673 51.5287525, -0.1920374 51.5287724, -0.1919898 51.5288197, -0.1919787 51.5288525, -0.1920324 51.5289206, -0.1922503 51.5290272, -0.1924084 51.5290909, -0.1925585 51.5291224, -0.1927135 51.5290191, -0.1925569 51.5289164, -0.1921859 51.5286731))",,dog_park,,,"[2532779204, 2532779218, 2532779225, 2532779243, 2532779247, 2532779259, 2532779278, 2532779298, 2532779302, 2532779286, 6639449386, 2532779204]",,,,,,,,,
fence,"POLYGON ((-0.1891841 51.5296935, -0.1891906 51.5297222, -0.1890966 51.5298248, -0.1890155 51.5299194, -0.1889261 51.5299481, -0.1888478 51.5299389, -0.1888035 51.5298965, -0.1887378 51.5298404, -0.1888288 51.5298003, -0.1892145 51.5295998, -0.1892209 51.5296102, -0.1892154 51.5296263, -0.1892182 51.5296401, -0.1892235 51.5296483, -0.1891675 51.5296792, -0.1891762 51.5296867, -0.1891841 51.5296935))",,dog_park,,,"[2532779435, 2532779440, 2532779455, 2532779475, 2532779485, 2532779482, 2532779470, 2532779460, 2532779450, 1687516316, 2532779402, 2532779405, 2532779412, 2532779415, 2532779428, 2532779431, 2532779435]",,,,,,,,,
,"POLYGON ((0.2392573 51.5986544, 0.2395057 51.5985144, 0.2394039 51.5984447, 0.2391556 51.5985847, 0.2392573 51.5986544))",,dog_park,,yes,"[3104472676, 3104472673, 3104472672, 3104472675, 3104472676]",Havering Dog Training Centre,,,,,,,,
fence,"POLYGON ((-0.20879 51.528726, -0.2087948 51.5287082, -0.2088259 51.528593, -0.20824 51.5285306, -0.207761 51.5284742, -0.2076435 51.5285361, -0.2075483 51.5285862, -0.20879 51.528726))",,dog_park,,,"[3725994946, 3725994933, 3725994856, 3725994816, 3725994779, 3725994820, 3725994850, 3725994946]",,,,,yes,,,,
,"POLYGON ((-0.1050674 51.4817254, -0.1048797 51.4817979, -0.1046542 51.4815717, -0.1048419 51.4814991, -0.1050674 51.4817254))",,dog_park,,,"[3813864106, 3813864110, 3813864113, 3813864112, 3813864106]",,,,,,,,,
,"POLYGON ((-0.0695396 51.5179411, -0.0693723 51.5179793, -0.069442 51.5181068, -0.0695898 51.5181753, -0.0696553 51.518158, -0.0695396 51.5179411))",,dog_park,,,"[3898646762, 3898646763, 3898646764, 3898646765, 3898646766, 3898646762]",,,,,,,,,
,"POLYGON ((-0.0146784 51.5099795, -0.014099 51.510054, -0.0141396 51.5101762, -0.014719 51.5101017, -0.0146784 51.5099795))",,dog_park,,,"[4011007694, 4011007695, 4011007696, 4011007697, 4011007694]",Dog Park,,,,,grass,,,
,"POLYGON ((-0.0352491 51.5211375, -0.0354664 51.521065, -0.0354127 51.5209348, -0.0347289 51.5209934, -0.0346912 51.5210099, -0.0346971 51.5210292, -0.0347422 51.5211784, -0.0352491 51.5211375))",,dog_park,,,"[8943361457, 4141335776, 4141335777, 8943361456, 4141335778, 4141335781, 4141335779, 8943361457]",Mile End Park Dog Agility Trail,Unfenced dog agility course.,,,,,https://thelondog.com/dog-agility-trails-london/,,
,"POLYGON ((-0.1955525 51.4685635, -0.1953386 51.4684003, -0.1950583 51.4681922, -0.1947433 51.467956, -0.1940287 51.4674193, -0.1936218 51.4675898, -0.1936798 51.4676456, -0.1937013 51.4676669, -0.1939207 51.4675844, -0.1940463 51.4675724, -0.1941678 51.4676014, -0.1954521 51.4685574, -0.1954906 51.4685732, -0.1955226 51.468573, -0.1955525 51.4685635))",,dog_park,,,"[4163469208, 4163469190, 8832720857, 4163469209, 25455183, 8830105840, 8832720834, 8830105839, 8830105833, 8830105841, 4163469210, 4163469211, 8830105835, 8832720856, 4163469208]",,,,,,,,,
,"POLYGON ((-0.0190726 51.5945977, -0.019023 51.594333, -0.019993 51.5942701, -0.0200548 51.5945337, -0.0196715 51.5945845, -0.0190866 51.5946619, -0.0190726 51.5945977))",,dog_park,,,"[2257821080, 4572135976, 4572135977, 2086938053, 4249940898, 2086938057, 2257821080]",Dog Off-Lead Area,,,survey,,,,,
,"POLYGON ((0.0134489 51.4409305, 0.0137231 51.4412474, 0.0142286 51.4410777, 0.0139621 51.4407658, 0.0134489 51.4409305))",,dog_park,,,"[4267773021, 4267773022, 4267773024, 4267773023, 4267773021]",,,,,,,,,
fence,"POLYGON ((-0.0813296 51.4622573, -0.0813434 51.4622502, -0.0813883 51.4622365, -0.0814446 51.4622248, -0.0814688 51.4622206, -0.0815345 51.462229, -0.0816284 51.4622624, -0.0817276 51.4623017, -0.0818041 51.4623334, -0.0819972 51.4624329, -0.0820709 51.4625323, -0.0821353 51.4625783, -0.0820857 51.4626794, -0.0820817 51.4627629, -0.0820736 51.4628013, -0.0819793 51.4627627, -0.0813296 51.4622573))",,dog_park,,,"[4320730216, 4320730217, 4320730218, 4320730219, 4320730220, 4320730221, 4320730222, 4320730223, 4320730224, 4320730225, 4320730226, 4320730227, 4320730228, 4320730229, 4320730230, 4320730231, 4320730216]",,Fenced dog walking park. Dog waste bins provided.,,,,,,,
,"POLYGON ((-0.1967374 51.4740654, -0.1966023 51.4739804, -0.1960911 51.4742551, -0.1954818 51.4745792, -0.1958441 51.4746462, -0.1967374 51.4740654))",,dog_park,limited,,"[4330675231, 4330675232, 1232225111, 35442590, 35442596, 4330675231]",,,,,,,,,
,"POLYGON ((-0.1055105 51.4686893, -0.1050884 51.4680338, -0.1052719 51.4679894, -0.1052983 51.4679852, -0.1053712 51.4679686, -0.1056209 51.4683959, -0.1057687 51.4686428, -0.1055105 51.4686893))",,dog_park,,,"[4568709606, 4568709607, 4568709608, 4568709609, 4568709610, 4568709616, 4568709617, 4568709606]",,,,,,,,,
,"POLYGON ((-0.1099432 51.4823229, -0.1101752 51.4823597, -0.1104227 51.4819496, -0.11046 51.481666, -0.1103465 51.4815646, -0.1099432 51.4823229))",,dog_park,,,"[26546319, 4571430828, 4571430829, 4571430830, 291132009, 26546319]",,,,,,,,,
,"POLYGON ((-0.1289237 51.4615833, -0.1287037 51.4613761, -0.1287225 51.4613561, -0.12887 51.4613577, -0.1290068 51.4614897, -0.1289237 51.4615833))",,dog_park,yes,,"[4745876133, 4745876132, 4745876131, 4745876130, 4745876129, 4745876133]",,,,,,,,,
,"POLYGON ((0.2194177 51.5910096, 0.2197043 51.59107, 0.2198784 51.5909235, 0.2199515 51.5908383, 0.2199823 51.5907235, 0.2200465 51.5906086, 0.2199901 51.5905652, 0.2198855 51.5905502, 0.2197702 51.5905236, 0.2194177 51.5910096))",,dog_park,,,"[4807547330, 4807547331, 4807547332, 4807547333, 4807547334, 4807547335, 4807547336, 4807547337, 4807547338, 4807547330]",,,,,,,,grass,
,"POLYGON ((-0.1232782 51.4829477, -0.1231424 51.4829242, -0.1230311 51.4829659, -0.1229304 51.4830419, -0.1228206 51.4832204, -0.122768 51.4833442, -0.1227981 51.4834031, -0.1228422 51.4834572, -0.1229901 51.4834635, -0.1230288 51.4833314, -0.1230465 51.4832938, -0.1231623 51.4830903, -0.1232131 51.4830271, -0.1232782 51.4829477))",,dog_park,,,"[5064954243, 9315695101, 5158039659, 9315695102, 9315695103, 9315695105, 5064954245, 9315695104, 5064954246, 2146058736, 9315757622, 33045068, 9315726271, 5064954243]",,,,,,,,,
,"POLYGON ((-0.0138745 51.4927444, -0.0140268 51.4922065, -0.0140124 51.4922035, -0.0139398 51.4922131, -0.0130499 51.4923304, -0.0123349 51.4922148, -0.0122955 51.4923766, -0.0121758 51.4928684, -0.0137891 51.4929942, -0.0138745 51.4927444))",,dog_park,,,"[5229243522, 5229243526, 5229243434, 7511615009, 5229243435, 5229243436, 7501700363, 5229243524, 5229243523, 5229243522]",Mudchute Dog Park,,,,,,,,
,"POLYGON ((-0.0617206 51.5230071, -0.0617194 51.5229466, -0.0604232 51.5229558, -0.0603895 51.5229754, -0.0604008 51.5232203, -0.0604131 51.5232295, -0.0605875 51.5232281, -0.060586 51.5231611, -0.0604725 51.5231621, -0.0604694 51.5230189, -0.060785 51.5230163, -0.0607853 51.5230311, -0.0613932 51.5230263, -0.0613929 51.5230094, -0.0617206 51.5230071))",,dog_park,,,"[4422918721, 5536074342, 5536074343, 5536074344, 5536074345, 5536074346, 5536074347, 4422918760, 4422918780, 4422918891, 4422918730, 4422918723, 4422918729, 4422918734, 4422918721]",,,,,,grass,,,
,"POLYGON ((-0.0336114 51.5100536, -0.0335388 51.5100462, -0.0334776 51.5100789, -0.0334237 51.5101324, -0.0334353 51.5101578, -0.0335097 51.5102059, -0.0335534 51.5102431, -0.0335869 51.5102793, -0.0335986 51.5103202, -0.0335956 51.510341, -0.0335898 51.5103809, -0.0335782 51.5104272, -0.0335505 51.510458, -0.0336073 51.5104789, -0.0338318 51.5105415, -0.0340373 51.5103927, -0.0340722 51.5102322, -0.033965 51.5102222, -0.033839 51.5102104, -0.033568 51.5101769, -0.0336114 51.5100536))",,dog_park,limited,,"[4314370166, 5802409565, 5802409566, 5802409567, 5802409568, 5802409569, 5802409570, 5802409571, 5802409572, 7835381781, 5802409573, 5802409574, 5802409575, 5802409576, 5802409577, 5802409578, 5802409579, 7835381783, 5802409580, 5802409581, 4314370166]",Dog Park,,,,,,,,
,"POLYGON ((-0.0306413 51.5103062, -0.0304789 51.5102999, -0.0304789 51.5101628, -0.0306412 51.5101615, -0.0306413 51.5103062))",,dog_park,yes,,"[647047188, 5802409748, 5802409749, 647047191, 647047188]",,,,,,,,,
,"POLYGON ((0.1135324 51.3440167, 0.1135358 51.34385, 0.113541 51.3435996, 0.1137406 51.3434028, 0.1139177 51.3433885, 0.1143507 51.3433316, 0.1147001 51.3434418, 0.1148803 51.3436026, 0.1149031 51.3440763, 0.1147047 51.3440773, 0.1144378 51.3440823, 0.1142272 51.3440748, 0.1140402 51.3440282, 0.1135324 51.3440167))",,dog_park,,,"[5872636307, 8343886883, 5872636303, 5872636306, 5872636305, 5872636311, 5872636312, 5872636313, 5872636314, 8343886882, 8343886880, 8343886881, 81203091, 5872636307]",Broke Farm Park,,,,,,,,
,"POLYGON ((0.1139801 51.3375567, 0.1139563 51.3374404, 0.1139636 51.3373556, 0.1140232 51.3372095, 0.1140883 51.3370995, 0.1141562 51.3370841, 0.1142607 51.3369294, 0.1142983 51.3368778, 0.1143882 51.336885, 0.1144515 51.3369405, 0.1143538 51.3370866, 0.1142681 51.3372004, 0.1141456 51.3373628, 0.1140567 51.3374808, 0.1139801 51.3375567))",,dog_park,,,"[5872712410, 5872712411, 5872712412, 5872712413, 5872712414, 5872712415, 5872712416, 5872712417, 5872712418, 5872712419, 5872712420, 5872712421, 5872712422, 5872712423, 5872712410]",School Green,,,,,,,,
,"POLYGON ((-0.2401205 51.4971989, -0.2396605 51.4972114, -0.2396045 51.4973457, -0.239845 51.4976684, -0.2402069 51.4976655, -0.2401999 51.4975536, -0.2401205 51.4971989))",,dog_park,,,"[6335289313, 6335289314, 6335289315, 6335289316, 6335289317, 6335289318, 6335289313]",,,,,,,,,
