created_by,geometry,source,access,barrier,leaf_cycle,leaf_type,natural,note,name,place,nodes,landuse,leisure,wikidata,website,wikipedia,description,is_in:district,designation,source:name,operator,addr:city,BROADHAB,CREATEDATE,CREATEDBY,HABDEFVER,INCID,INTERPQUAL,NBNPRIHAB,PHABFEANOT,PRIDET,PRIHAB,PRIHABTXT,S1BOUNDARY,S1CAPTDATE,S1HABCLASS,S1HABID,S1HABTYPE,SOURCE1TXT,fixme,landcover,layer,jungle,surface,operator:wikidata,produce,ways,type,alt_name,local_name
,"POLYGON ((-0.1898649 51.5819198, -0.1899955 51.5820266, -0.190146 51.5819892, -0.1900351 51.5818703, -0.1900956 51.5818527, -0.1898458 51.5815772, -0.1901512 51.5814731, -0.1904391 51.581849, -0.190484 51.5819578, -0.1903803 51.5820061, -0.1902558 51.58235, -0.1907754 51.5823168, -0.1909101 51.5826997, -0.1909519 51.5829168, -0.1916097 51.5838088, -0.1891941 51.5848463, -0.1884034 51.5847427, -0.1872663 51.5845776, -0.186114 51.5844126, -0.1859274 51.5840759, -0.1877216 51.5826689, -0.1898649 51.5819198))",,,,deciduous,,,,Big Wood,,"[20994013, 5220734637, 5220734638, 5220734639, 413282706, 10316848998, 10316848999, 5220734643, 5220734642, 20994014, 5220734645, 5220734644, 620849494, 620849493, 20994007, 620849490, 620849513, 5220734636, 620849514, 620849515, 620849516, 20994013]",forest,park,Q4906692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1931543 51.5867082, -0.1914001 51.5863492, -0.1910384 51.5864011, -0.190944 51.5862146, -0.1920676 51.5855932, -0.1925456 51.585398, -0.1925786 51.5854428, -0.1926433 51.5854237, -0.1928238 51.5856756, -0.1927417 51.5857172, -0.1931543 51.5867082))",,,,deciduous,,,,Little Wood,,"[20994016, 20994017, 20994018, 413282704, 5064534131, 5704717505, 5704717504, 20994019, 5704717503, 20994021, 20994016]",forest,nature_reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1617106 51.5977755, -0.1616103 51.5979666, -0.1615079 51.5981008, -0.1606508 51.5991757, -0.1604195 51.5988108, -0.160359 51.5987808, -0.1595622 51.5983857, -0.1575787 51.598824, -0.1574749 51.5988274, -0.1573708 51.5986197, -0.1572322 51.598429, -0.156483 51.5974005, -0.1563905 51.5972735, -0.1559797 51.5970631, -0.1561061 51.5969737, -0.1561364 51.5969518, -0.1550789 51.5962898, -0.1546528 51.5960565, -0.1543339 51.5958782, -0.1545205 51.5958517, -0.1543967 51.5956108, -0.1542988 51.5954517, -0.154144 51.5952236, -0.1548484 51.5951914, -0.1549253 51.5957056, -0.1555757 51.5957013, -0.1555306 51.5951958, -0.1564262 51.5951887, -0.156509 51.595719, -0.1579754 51.5956799, -0.1579693 51.5951619, -0.1586027 51.5951155, -0.1586501 51.5951128, -0.1587438 51.5951042, -0.1587577 51.5951817, -0.1589245 51.5951711, -0.1590153 51.595543, -0.1594529 51.5955187, -0.1599143 51.5954656, -0.1610605 51.5951883, -0.161828 51.5970282, -0.1618164 51.5975733, -0.1617106 51.5977755))",,,,,,,,Coldfall Wood,,"[5219128523, 831101979, 7979872581, 830997117, 830997116, 8151616867, 20998198, 2612483861, 20998199, 622031351, 4751165464, 4751165465, 831146929, 831146994, 8151616907, 831146844, 831146992, 8806617082, 8806617083, 78015705, 8806617073, 8806617072, 7979872584, 622031501, 249556462, 249556463, 7093473133, 7093473136, 249556466, 249556467, 249556468, 3635623023, 831147047, 7979903193, 5219127610, 8820119716, 249556470, 5219127620, 20998201, 20998202, 5219128521, 831101955, 5219128523]",forest,nature_reserve,Q5142516,https://www.coldfallwoods.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1917938 51.6553815, -0.1913434 51.6552342, -0.1907119 51.654821, -0.19009 51.6544069, -0.1900387 51.6543582, -0.1902252 51.6540321, -0.1903483 51.6541755, -0.1924554 51.655187, -0.1936459 51.654824, -0.1949675 51.6544908, -0.1951903 51.6538152, -0.1957255 51.6545096, -0.195988 51.6548135, -0.196197 51.655144, -0.196834 51.656148, -0.198005 51.657765, -0.1971525 51.6572985, -0.1960796 51.6568767, -0.1949549 51.6566238, -0.1944395 51.6565863, -0.1939922 51.6565538, -0.1937407 51.6565355, -0.1933578 51.6562146, -0.192918 51.6560948, -0.192639 51.6559484, -0.1929736 51.6557359, -0.192538 51.6554517, -0.1922834 51.6553787, -0.1921089 51.6553797, -0.1920632 51.6553799, -0.1917938 51.6553815))",,,,,,,,,,"[22396654, 2998565531, 2998565529, 22396657, 2998565528, 2998565527, 22396661, 22396665, 22396667, 22396672, 5007815678, 22396810, 22396851, 22396887, 22396914, 22396424, 22396534, 22396575, 22396605, 2998620650, 639606413, 22396647, 639606618, 639606619, 639606554, 639606555, 22396651, 2998565532, 3418409529, 2998565733, 22396654]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0443767 51.6238777, 0.0444062 51.6235675, 0.0444036 51.6232574, 0.0442694 51.6224572, 0.0439907 51.6216331, 0.0436418 51.6209043, 0.0434065 51.6206049, 0.0430652 51.620329, 0.042394 51.619839, 0.0411844 51.6200247, 0.0406037 51.6199289, 0.0398908 51.6195147, 0.0389734 51.6188352, 0.038201 51.6188885, 0.0375358 51.6186487, 0.0374078 51.6178739, 0.0373509 51.6177991, 0.0372461 51.6177406, 0.0368035 51.6175754, 0.0362256 51.617199, 0.0358131 51.617045, 0.0353365 51.6168961, 0.035167 51.6168294, 0.0350493 51.6167468, 0.0344426 51.6169629, 0.0341422 51.6169563, 0.0322553 51.6178531, 0.0317451 51.617688, 0.031313 51.6178635, 0.0310743 51.6180459, 0.0309785 51.6181394, 0.0309562 51.6182724, 0.0309801 51.6183968, 0.0310618 51.6184139, 0.0313909 51.618199, 0.0317261 51.6181291, 0.0321097 51.618339, 0.031981 51.6190808, 0.0313206 51.6204169, 0.0312758 51.6214247, 0.0310597 51.6215716, 0.0312228 51.6217178, 0.0316423 51.6219072, 0.0319393 51.621886, 0.0319863 51.6221525, 0.0316951 51.6221686, 0.0319736 51.6228878, 0.0319533 51.6230048, 0.032129 51.6230435, 0.0322882 51.6230996, 0.0325296 51.623276, 0.0329802 51.6236362, 0.0335661 51.6242706, 0.0340835 51.625161, 0.0363926 51.6241851, 0.0387922 51.6239513, 0.0389459 51.624354, 0.0425688 51.6239943, 0.0427232 51.6239881, 0.0443767 51.6238777))",signage,,,,,,,Lords Bushes and Knighton Wood,,"[25644098, 8187645199, 25643913, 25643912, 8187645200, 25643911, 8187645201, 25643910, 610797529, 610797527, 610797526, 25643905, 25643904, 25643915, 25643916, 610797519, 8187645202, 8187645203, 25643967, 25643980, 8187645206, 8187645204, 8187645205, 25643986, 610797017, 610797019, 610797022, 25643998, 25644002, 25644006, 8187645212, 8187645215, 8187645216, 8187653717, 25644008, 25644010, 25644016, 25644023, 610797118, 3666547309, 25644033, 3666547316, 25644039, 25644044, 25644050, 25644054, 25644060, 8187653718, 8187653719, 3666564132, 241780285, 3666547314, 25644066, 610846372, 610846371, 610846370, 610846369, 610846368, 610846338, 25644098]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potlatch 0.5d,"POLYGON ((0.107123 51.5808256, 0.1083032 51.5811857, 0.1095692 51.5823857, 0.1103631 51.582639, 0.1116076 51.5836257, 0.1146117 51.584599, 0.1154915 51.584159, 0.11547 51.5834524, 0.1141826 51.5834924, 0.1124445 51.5830524, 0.1102558 51.581679, 0.1085177 51.5802123, 0.1076594 51.5801989, 0.1079598 51.580679, 0.107123 51.5808256))",,,,,,,,,,"[25735389, 25735402, 25735403, 25735404, 25735405, 25735407, 25735416, 25735400, 25735399, 25735397, 25735395, 25735394, 25735392, 25735390, 25735389]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.1338765 51.6196938, 0.1334638 51.6196511, 0.1328792 51.6195849, 0.1325375 51.6195056, 0.1320748 51.619124, 0.1315191 51.6189963, 0.1310822 51.6188959, 0.1310111 51.6188795, 0.1309547 51.6188666, 0.1303461 51.6187267, 0.1288459 51.6183819, 0.1283446 51.6182007, 0.1270125 51.6163484, 0.1224259 51.6168023, 0.1225081 51.616935, 0.123066 51.6171082, 0.1244682 51.6180515, 0.1293583 51.6212925, 0.1321492 51.6221726, 0.1337419 51.6229571, 0.134637 51.6229536, 0.1349136 51.622895, 0.1336447 51.6224106, 0.1336232 51.6221309, 0.1341597 51.622011, 0.1349107 51.6223707, 0.1349751 51.6228902, 0.1361092 51.6228851, 0.136112 51.6227418, 0.1360694 51.6225259, 0.13604 51.6223381, 0.1361782 51.6221209, 0.1361239 51.6220024, 0.1359328 51.6219338, 0.13616 51.6219006, 0.1361905 51.6217958, 0.1361681 51.6216651, 0.1364784 51.6214944, 0.1365913 51.6213414, 0.1366129 51.6211333, 0.1365406 51.6210002, 0.1363803 51.6208473, 0.1364852 51.620747, 0.136528 51.6205738, 0.1363859 51.6204323, 0.1364527 51.6202065, 0.1362471 51.620153, 0.1363144 51.619992, 0.1357316 51.6198887, 0.1342974 51.6194276, 0.1340695 51.6195744, 0.1338765 51.6196938))",,,,,,,,,,"[25743263, 7467127146, 7467127147, 25743265, 25743266, 3092189777, 3092189771, 9976566086, 3092189769, 3092189764, 25743275, 25743276, 25743277, 25743280, 25743002, 25743003, 2913187067, 25743240, 25743241, 25743242, 25743243, 25743244, 25743245, 25743246, 25743247, 25743248, 25743249, 7467127087, 7465104132, 7467127095, 7467127096, 7467127097, 7467127098, 7465104130, 7467127099, 7467127100, 7467127101, 25743253, 7467127102, 7467127103, 25743254, 25743255, 25743256, 25743257, 25743258, 7465104128, 7465104126, 7465104124, 7465104122, 25743262, 7467127145, 25743263]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.1213709 51.6162289, 0.1224259 51.6168023, 0.1270125 51.6163484, 0.1270357 51.6153895, 0.1257268 51.6144701, 0.1245877 51.61493, 0.1213709 51.6162289))",,,,,,,,,,"[25743281, 25743280, 25743277, 25743283, 25743282, 3089703427, 25743281]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.2009359 51.6237798, 0.2003136 51.6240329, 0.2001634 51.624286, 0.2002278 51.6244991, 0.1997987 51.6249654, 0.1969595 51.625565, 0.1972023 51.6258446, 0.2009574 51.6249521, 0.2013865 51.6247389, 0.2017298 51.624286, 0.2016869 51.623913, 0.2009359 51.6237798))",,,,,,,,Sandpits Plantation,,"[25893484, 25893485, 25893486, 25893488, 25893479, 25893478, 25893477, 25893480, 25893481, 25893482, 25893483, 25893484]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.1928035 51.6257646, 0.1933184 51.6259378, 0.1937691 51.6259112, 0.1940051 51.6257247, 0.1939836 51.6254583, 0.1936403 51.625325, 0.1931468 51.6253783, 0.1920739 51.6252185, 0.1916233 51.6252318, 0.1910868 51.6251519, 0.1906791 51.6249654, 0.1899067 51.6251119, 0.1895204 51.6256581, 0.1893917 51.6260577, 0.1905719 51.6252584, 0.1914302 51.6255382, 0.1916662 51.625778, 0.1921168 51.6258179, 0.1928035 51.6257646))",yahoo,,,,,,,Palace Plantation,,"[25893618, 25893599, 25893580, 25893578, 25893575, 25893573, 25893572, 25893571, 25893570, 25893569, 25893568, 25893627, 25893626, 25893625, 25893624, 25893623, 25893622, 25893620, 25893618]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
