geometry,access,source,note,leisure,name,nodes,wikidata,addr:city,addr:country,addr:postcode,addr:street,description,golf:course,golf:par,phone,website,addr:housenumber,addr:housename,start_date,source:name,wikipedia,email,alt_name,postal_code,fhrs:id,not:addr:postcode,opening_hours,source:address,name:en,surface,old_name,operator,source:addr,golf,fixme,charge,fee,ways,type
POINT (-0.4429594 51.5135428),,,,golf_course,Stockley Park Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0835019 51.6442656, -0.0832351 51.6440765, -0.0835292 51.6438911, -0.0845971 51.6433266, -0.0846673 51.6435394, -0.084753 51.6436799, -0.0848985 51.6437861, -0.0850272 51.6438501, -0.0851208 51.6438751, -0.0854104 51.6438467, -0.0856159 51.643815, -0.0858207 51.6437866, -0.0858487 51.6437423, -0.0860252 51.6436816, -0.0862716 51.6436717, -0.086246 51.6435937, -0.0862562 51.6434289, -0.0861147 51.6433177, -0.0862637 51.6432287, -0.0862916 51.6430054, -0.0864126 51.6427711, -0.0865729 51.6424374, -0.0866888 51.6422003, -0.0867929 51.6419047, -0.0872692 51.6416449, -0.0887284 51.6414385, -0.0892604 51.6413093, -0.0902314 51.6406546, -0.0905259 51.640307, -0.0910619 51.6402935, -0.0911753 51.6402892, -0.0915725 51.6405554, -0.0916954 51.6408237, -0.0907196 51.641778, -0.0901445 51.6425504, -0.090093 51.643083, -0.0904686 51.643424, -0.0909804 51.6435029, -0.0909884 51.6435794, -0.0911869 51.6436378, -0.0914846 51.6434071, -0.0914149 51.6432087, -0.0916456 51.6430847, -0.0918065 51.6429036, -0.0919782 51.6428476, -0.0921954 51.642709, -0.0923074 51.6426926, -0.0925681 51.6428704, -0.0926279 51.6430158, -0.0928704 51.6431069, -0.0927431 51.6435787, -0.0921774 51.6442138, -0.090346 51.6465885, -0.0901568 51.6468303, -0.0899518 51.647049, -0.0904506 51.6472441, -0.0907783 51.6474466, -0.0911968 51.6478964, -0.0914883 51.648381, -0.0916843 51.6489085, -0.0916182 51.6491822, -0.0912111 51.6499476, -0.0902358 51.6513491, -0.0898689 51.6517424, -0.0888936 51.6521816, -0.0887841 51.6522779, -0.0875805 51.6519567, -0.0876036 51.6518753, -0.0877596 51.6516504, -0.0878832 51.6514583, -0.0879034 51.6513302, -0.087879 51.6511998, -0.0878356 51.6510671, -0.0878854 51.6509871, -0.0879396 51.6508999, -0.0880601 51.6507062, -0.0886093 51.6500697, -0.0893463 51.6494299, -0.0894207 51.6492346, -0.0894129 51.6490768, -0.0893671 51.6488395, -0.0892441 51.6486917, -0.0891939 51.6486704, -0.0879713 51.6481512, -0.0875519 51.6479921, -0.0865357 51.6475634, -0.0861998 51.6469917, -0.0858833 51.6463382, -0.0835019 51.6442656))",,,,golf_course,Bush Hill Park Golf Club,"[19083240, 19083241, 19083242, 19083243, 7626115025, 7626115024, 7626115023, 7626115026, 19083244, 7626115027, 7632778668, 7626115028, 7632778667, 19083245, 19083246, 9812296280, 1647882984, 7633144590, 19083247, 19083248, 7633144406, 6210445854, 9812274826, 6210445851, 19083249, 6205368184, 19083251, 7633144167, 19083252, 7633144168, 7633144170, 7633144169, 19083254, 77984373, 77984374, 77985041, 19083255, 6205368129, 6205368145, 19083257, 6205368157, 6205368164, 6205368122, 6205369299, 6205368136, 6205369331, 19083258, 6205369346, 6205368127, 19083259, 935486023, 19083260, 19083263, 256699495, 19083264, 7633145148, 19083265, 150548579, 19083266, 19083267, 33509747, 19083269, 19083270, 19083271, 19083272, 19083227, 19083228, 33518238, 33518239, 19083229, 33518240, 33518241, 33518243, 33518242, 33518244, 19083230, 19083231, 19083232, 33510023, 33510011, 33509999, 19083233, 4411875788, 33514532, 19083234, 19083235, 251223603, 19083236, 19083240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1305791 51.6485934, -0.131183 51.6483379, -0.1322587 51.6488347, -0.1324507 51.6488892, -0.133404 51.6493568, -0.1334096 51.6494093, -0.1343171 51.6500647, -0.1357152 51.6526973, -0.1360251 51.653215, -0.1363659 51.6538441, -0.1368826 51.6548358, -0.1370099 51.6550595, -0.1377466 51.6564671, -0.1360797 51.6568861, -0.1358482 51.6569201, -0.1338979 51.6573258, -0.1321311 51.6576546, -0.1306204 51.6579863, -0.130143 51.6571309, -0.129936 51.6567599, -0.1287558 51.6569596, -0.128733 51.6569642, -0.1281643 51.6570783, -0.126167 51.657328, -0.1261214 51.6568726, -0.1259903 51.6556091, -0.125894 51.6549573, -0.1258055 51.6547102, -0.1257974 51.654318, -0.1257639 51.6537155, -0.1256295 51.6530615, -0.1256553 51.6528918, -0.1280423 51.6518104, -0.128227 51.6517267, -0.1297491 51.6511531, -0.1293959 51.6504754, -0.128896 51.6495161, -0.1305791 51.6485934))",,,,golf_course,Trent Park Golf Course,"[19086572, 19086574, 19086575, 2443598434, 3942111901, 19086576, 19086577, 19086578, 8025832300, 8025832301, 8025832302, 19086580, 19086560, 7770002555, 19086561, 7770002452, 19086562, 19086564, 9253587163, 878898747, 878898748, 878904919, 19086565, 19086566, 19189199, 19189200, 19086567, 4504950473, 4504950464, 4504950468, 19086568, 7769952339, 9510969310, 19086569, 1601530222, 9510969318, 19086571, 19086572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1046581 51.6535302, -0.104308 51.6536891, -0.1039872 51.65385, -0.1035353 51.6541455, -0.1030833 51.6543541, -0.1027032 51.654705, -0.1023915 51.6548117, -0.1022342 51.654621, -0.1023602 51.6544619, -0.1022476 51.6542143, -0.1020464 51.6535546, -0.1010406 51.6529531, -0.100421 51.6522654, -0.0997887 51.6517738, -0.0993575 51.6515681, -0.0986569 51.6512161, -0.0980919 51.6509835, -0.098315 51.6506306, -0.0986919 51.6505765, -0.0991555 51.6503444, -0.0986834 51.6500331, -0.098547 51.6498775, -0.097409 51.6495516, -0.0966866 51.649167, -0.0963434 51.6489361, -0.0965541 51.6488651, -0.0968898 51.6487438, -0.097184 51.6485861, -0.0975529 51.6483902, -0.0975276 51.6482856, -0.0974468 51.6479509, -0.0973035 51.6473533, -0.0971423 51.646561, -0.0970866 51.6457848, -0.0971359 51.6457334, -0.0973752 51.6454838, -0.0977711 51.6457987, -0.0982486 51.6463203, -0.0995473 51.6477172, -0.1002705 51.6473026, -0.1004177 51.6472183, -0.100742 51.6475641, -0.1015093 51.6472925, -0.1054438 51.6461351, -0.1077256 51.6457418, -0.1092696 51.6454798, -0.1090471 51.6463422, -0.1088746 51.6468836, -0.1036291 51.6483114, -0.1043322 51.6491377, -0.1057518 51.6508575, -0.1061216 51.6513204, -0.1065929 51.651795, -0.1067162 51.6519064, -0.1068886 51.6521226, -0.1068327 51.6523062, -0.1062469 51.6525116, -0.1058645 51.6527897, -0.1054299 51.653033, -0.1049258 51.6533459, -0.1046581 51.6535302))",,,,golf_course,Enfield Golf Club,"[19087832, 19087833, 19087834, 19087835, 19087836, 19087837, 19087838, 19087839, 4530667497, 4530667500, 19087840, 19087841, 19087842, 19087843, 19087844, 19087845, 256600237, 7593127898, 7593127897, 19087847, 19087848, 7593127896, 19087849, 19087850, 2382818932, 19087852, 23596311, 7143058877, 23596157, 464743627, 2382818934, 19087860, 23599996, 23600016, 7143058868, 23600056, 19087857, 19087862, 19087863, 4550938472, 19087864, 19087865, 19087866, 19087867, 251445850, 19087868, 7593127899, 19087869, 19087870, 27017686, 19087875, 10248261265, 19087823, 19087825, 19087826, 19087827, 19087828, 19087829, 19087830, 19087831, 19087832]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1607692 51.6662354, -0.1598999 51.6663071, -0.1598178 51.6660838, -0.1586535 51.6657206, -0.1580541 51.6652129, -0.1579491 51.6644577, -0.1569816 51.6638315, -0.1566865 51.6632299, -0.15626 51.66231, -0.1559173 51.6616617, -0.1559752 51.6613049, -0.1564927 51.6605834, -0.156481 51.6604124, -0.1561984 51.6600632, -0.1564587 51.6597003, -0.1566754 51.6596529, -0.1567214 51.6594203, -0.1565188 51.6588241, -0.1568824 51.6581767, -0.1569975 51.6578247, -0.1585456 51.6570102, -0.1593383 51.6565752, -0.1600195 51.6566547, -0.16108 51.6570468, -0.1619523 51.6575708, -0.1626143 51.6576521, -0.1623651 51.658181, -0.1627455 51.6583022, -0.1628654 51.6583936, -0.1633134 51.6584731, -0.1629788 51.6588357, -0.162842 51.6591938, -0.1627974 51.6592763, -0.162792 51.6593528, -0.1625588 51.6597096, -0.1624418 51.6598427, -0.1624037 51.6600317, -0.1622777 51.6601604, -0.1632623 51.6603698, -0.1635068 51.6604926, -0.1636515 51.6605654, -0.1639266 51.6607036, -0.1644397 51.6607248, -0.1657556 51.6605933, -0.1671567 51.660724, -0.1683987 51.6611535, -0.1693117 51.6615877, -0.1695398 51.661717, -0.1696792 51.6618117, -0.1696318 51.6621103, -0.1696259 51.6622919, -0.1694601 51.6631363, -0.1690388 51.6640693, -0.1684369 51.6648518, -0.1674395 51.6654514, -0.1666024 51.6657169, -0.1655328 51.6656975, -0.1650765 51.6656813, -0.1645998 51.6656624, -0.1646374 51.6659946, -0.1645977 51.6664946, -0.1646239 51.6665812, -0.1641271 51.6664628, -0.1637011 51.6664965, -0.1636101 51.6662125, -0.162467 51.6661019, -0.162428 51.6661062, -0.1619794 51.6661556, -0.1607692 51.6662354))",,,,golf_course,Hadley Wood Golf Course,"[144721013, 144721009, 144721007, 19226835, 144721003, 144721001, 144720999, 144720997, 144720995, 144720992, 6282873984, 144720991, 6282873985, 144720988, 6282873986, 6282873987, 6282873988, 144720985, 144720982, 6282873989, 144720979, 19226864, 6053179275, 19226865, 19226869, 3418434856, 19226870, 19226871, 19226875, 6188830213, 18283414, 1574564195, 18283413, 1574564193, 1574564192, 1574564190, 1574564188, 6152500979, 8920142226, 8920183927, 8920183926, 8920142227, 8920142231, 8920142230, 8920142229, 8920142228, 7232224574, 19226881, 7232224573, 13593777, 13593780, 19226886, 19226894, 19226898, 19226899, 19226900, 19226901, 19226903, 19226904, 19226905, 3891030277, 19226906, 144721023, 5139525704, 5139525705, 144721020, 144721017, 144721016, 144721013]",Q20876159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.2020717 51.6679286, -0.2025734 51.669002, -0.2033267 51.6702549, -0.2013374 51.6701688, -0.1999934 51.6704957, -0.1989622 51.668202, -0.1988261 51.6674159, -0.1988465 51.6673164, -0.1995038 51.6673069, -0.1998129 51.6668773, -0.2003038 51.6651614, -0.2003529 51.6649821, -0.200379 51.6648139, -0.2004353 51.6646936, -0.2005755 51.6641396, -0.2006709 51.6639149, -0.2007345 51.6637263, -0.2007494 51.6636687, -0.2007538 51.6635526, -0.2007527 51.6634896, -0.2007754 51.6633598, -0.2008126 51.6633017, -0.2009104 51.6630684, -0.2009306 51.6629618, -0.2010316 51.6626702, -0.2010341 51.6626628, -0.2012316 51.6626663, -0.2020803 51.6616919, -0.2027442 51.6608176, -0.2032027 51.66031, -0.20448 51.6602621, -0.2058718 51.6600721, -0.2067764 51.6613412, -0.2075312 51.6624083, -0.209238 51.6646841, -0.2103616 51.6662379, -0.2114463 51.6675693, -0.21069 51.6674159, -0.2102047 51.6674047, -0.2099144 51.6675865, -0.2090109 51.6672111, -0.207715 51.6666619, -0.2064483 51.6678673, -0.2053691 51.6685455, -0.2042106 51.6684623, -0.2020717 51.6679286))",,,,golf_course,Old Fold Manor Golf Course,"[19495284, 19495285, 19495286, 19495287, 19495288, 9453806678, 1634700957, 19495291, 19495292, 1634698506, 19495293, 1634691338, 1634700951, 19495294, 1634700958, 1634700963, 1634700948, 1634700950, 1634700965, 1634700953, 1634700960, 19495295, 1634700966, 1634700955, 4976344910, 1634700952, 6696493312, 6696493309, 6696493304, 19495298, 586851100, 19495299, 19495300, 19495301, 19495302, 19495304, 19495276, 83286862, 83286863, 19495277, 19495278, 19495279, 19495280, 19495282, 19495283, 19495284]",,"Hadley Green, Barnet",GB,EN5 4QN,Old Fold Lane,18 hole par 71,18_hole,71,+44 20 8440 9185,https://www.oldfoldmanor.co.uk/,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1881277 51.63986, -0.1880112 51.6397904, -0.1878056 51.6397502, -0.1876557 51.6396798, -0.1875908 51.6396263, -0.187585 51.6395822, -0.1874923 51.6394969, -0.1872292 51.6393645, -0.1868805 51.6390438, -0.1865801 51.6388019, -0.1863977 51.6385058, -0.1862609 51.6380711, -0.1862396 51.6379332, -0.1863199 51.6378457, -0.186258 51.6377543, -0.1861538 51.6376478, -0.1860981 51.6375308, -0.1859607 51.6374046, -0.1858265 51.637295, -0.1852981 51.6370708, -0.1851399 51.6370474, -0.1849629 51.6370911, -0.1847925 51.6370838, -0.1846786 51.6369852, -0.1844774 51.6369706, -0.1843379 51.6369243, -0.1842148 51.6368666, -0.1840795 51.6367467, -0.1840924 51.6366793, -0.1840575 51.6365341, -0.1840393 51.6364751, -0.1839553 51.6363709, -0.1839533 51.6362826, -0.1860441 51.6356387, -0.188403 51.6348271, -0.1874917 51.6332979, -0.1874837 51.6331448, -0.1879518 51.6330049, -0.1885462 51.6328522, -0.1884889 51.6327766, -0.1886036 51.6327433, -0.1884252 51.6325056, -0.1891843 51.6322712, -0.1892731 51.632246, -0.1897526 51.6327336, -0.190958 51.6324123, -0.1920733 51.6323718, -0.1949666 51.6338898, -0.1951589 51.6339694, -0.1953053 51.6339752, -0.195485 51.6340296, -0.1955007 51.6341619, -0.196971 51.634869, -0.196405 51.6359397, -0.1948788 51.637917, -0.1943212 51.638716, -0.1942451 51.6387952, -0.1937261 51.639335, -0.1930571 51.6400424, -0.1928848 51.6400544, -0.1891899 51.6402368, -0.1890746 51.6401018, -0.1890315 51.6400732, -0.1888735 51.640025, -0.1887273 51.6399998, -0.188549 51.6399582, -0.1883336 51.6399264, -0.1881277 51.63986))",,landsat,,golf_course,South Hertfordshire Golf course,"[21256377, 2087805483, 2087805453, 2087805516, 2087805486, 2087805515, 2087805469, 2087805512, 21256379, 2087805466, 21256381, 2087805494, 2087805473, 2087805517, 2087805479, 2087805484, 21256383, 21256385, 2087805457, 2087805495, 2087805493, 2087805465, 2087805459, 2087805471, 2087805514, 2087805477, 2087805489, 2087805497, 21256387, 2087805499, 2087805518, 2087805470, 21256388, 5654329148, 21256390, 21256392, 2087810812, 5328206728, 586867007, 9330400916, 9330437217, 586867354, 5328124899, 586867350, 21256394, 21256395, 21256400, 2087823710, 2087823711, 2087823714, 2087823726, 2087823724, 21256365, 21256367, 21256368, 21256370, 1679968931, 1679968991, 1679968956, 21256372, 21256375, 2087805506, 2087805520, 2087805496, 2087805456, 2087805502, 2087805468, 21256377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0364425 51.6319233, -0.0361403 51.6318762, -0.0359182 51.6318373, -0.0355451 51.6318071, -0.0352962 51.6319266, -0.032502 51.6315463, -0.0321158 51.6323987, -0.0320729 51.6331179, -0.035077 51.6332777, -0.0368649 51.6335577, -0.0370586 51.6337995, -0.0367297 51.6345529, -0.03683 51.6350494, -0.0376374 51.6353504, -0.0370906 51.6366653, -0.0368133 51.6372348, -0.0364805 51.6378964, -0.0353755 51.6377453, -0.0345068 51.6375941, -0.0343929 51.6379142, -0.0328567 51.6375773, -0.0310124 51.6374351, -0.0309326 51.6369322, -0.0307851 51.6346432, -0.030726 51.6328053, -0.0306657 51.6315333, -0.0309782 51.6304811, -0.031168 51.6297877, -0.0312665 51.629428, -0.0314207 51.6288603, -0.0315803 51.6283075, -0.0326308 51.6283496, -0.0329787 51.6269789, -0.0334016 51.627127, -0.0340775 51.6273484, -0.034398 51.6274342, -0.0351035 51.6275873, -0.035785 51.6277061, -0.0366627 51.627866, -0.0375346 51.6280244, -0.037395 51.6283316, -0.0373142 51.6285095, -0.0361461 51.6307276, -0.0369691 51.6309085, -0.0365602 51.6318476, -0.0365219 51.6318872, -0.0364425 51.6319233))",,,,golf_course,Lee Valley Golf Course,"[21626671, 25648654, 25648655, 25648653, 21626672, 21626673, 21626674, 21626675, 21626676, 21626677, 21626678, 21626679, 1320770735, 21626680, 21626681, 2680790622, 21626682, 21626683, 21626718, 21626719, 21626684, 21626687, 21626689, 2563483384, 5242477213, 21626691, 5242477217, 8772439526, 5242477218, 5242477219, 21626693, 21626695, 21626697, 21626699, 1446288627, 1446288629, 1149593722, 2563483059, 21626701, 21626703, 8772596094, 25638122, 21626669, 21626670, 8770493876, 4085621350, 21626671]",,Edmonton,,N9 0AR,Meridian Way,18 hole Par 67,18_hole,67,+44 20 8803 3611,http://www.visitleevalley.org.uk/en/content/cms/outdoors/golf/golf-courses-in-london/,61,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1676317 51.6196801, -0.1687582 51.6197842, -0.1698526 51.620024, -0.1708182 51.6202771, -0.1714619 51.6205302, -0.1710063 51.620973, -0.1708196 51.621261, -0.1710553 51.6214154, -0.1710542 51.6215427, -0.1711784 51.6219937, -0.1724462 51.6218483, -0.1738652 51.6217205, -0.1748805 51.6215731, -0.1749109 51.6218674, -0.1747498 51.6220987, -0.1748072 51.6223577, -0.1745089 51.6225418, -0.1744231 51.6231546, -0.1738652 51.623128, -0.1737579 51.6235276, -0.1738446 51.6237656, -0.174607 51.623823, -0.1744659 51.6245151, -0.1742509 51.625055, -0.1741265 51.6252813, -0.1740483 51.6254213, -0.1737529 51.6253604, -0.1727593 51.6251133, -0.1712962 51.6247629, -0.1712972 51.6249544, -0.1711742 51.6250891, -0.1708872 51.625241, -0.1705976 51.625191, -0.1696103 51.6250329, -0.1685097 51.6246866, -0.1679813 51.6243136, -0.1674002 51.6236553, -0.1661602 51.6226073, -0.1659311 51.6222945, -0.165984 51.6222673, -0.1663357 51.6220756, -0.1659833 51.6217451, -0.1656427 51.6214343, -0.1646547 51.6210011, -0.1644571 51.6211114, -0.164111 51.6209926, -0.1641111 51.6202246, -0.1634056 51.6200619, -0.1637345 51.6197886, -0.1647179 51.619243, -0.1665669 51.6190215, -0.1673456 51.618978, -0.1674958 51.6193827, -0.1676317 51.6196801))",,,,golf_course,North Middlesex Golf Club,"[21642914, 21642915, 21642916, 21642917, 21642918, 21642938, 21642937, 6900506338, 21642919, 21642920, 21642921, 21642922, 587648274, 6900493979, 1986996314, 21642935, 21642925, 21642926, 21642927, 21642928, 587648173, 21642930, 21642931, 21642932, 21642897, 21642940, 21642898, 21642899, 21642900, 6600660151, 21642901, 21642902, 21642934, 21642933, 21642903, 21642904, 21642905, 1987159364, 21642906, 6888443894, 1987159321, 1986186456, 1987159336, 21642907, 21642908, 21642909, 1987151708, 1987151761, 21642910, 21642911, 21642912, 21642913, 587648242, 21642914]",,London,,N20 0NL,Friern Barnet Lane,18 hole Par 69,18_hole,69,+44 20 8445 1604,https://www.northmiddlesexgc.co.uk/,,The Manor House,1905,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.2188259 51.5985364, -0.2192922 51.5985404, -0.2198473 51.5984547, -0.220269 51.5983557, -0.2207502 51.5999129, -0.2208877 51.6005497, -0.2210506 51.6011125, -0.2211936 51.6011833, -0.2211078 51.6020469, -0.2211364 51.602392, -0.221154 51.6026101, -0.2212222 51.6034582, -0.221351 51.6043911, -0.2213105 51.6051947, -0.2213081 51.6053506, -0.221351 51.6062568, -0.2216799 51.6069259, -0.221007 51.6072452, -0.2210259 51.6077328, -0.2208881 51.6078354, -0.2204777 51.6076503, -0.2192227 51.6072235, -0.2184148 51.6070054, -0.2183341 51.6069051, -0.2184019 51.6067256, -0.2183202 51.6065436, -0.2177155 51.605346, -0.217392 51.6049263, -0.2167165 51.6044745, -0.2165129 51.6042835, -0.2162786 51.6038995, -0.216176 51.6035789, -0.2160285 51.6029741, -0.2161795 51.6021954, -0.2169691 51.6015504, -0.2173682 51.6009223, -0.2180886 51.60044, -0.2180216 51.600426, -0.2174084 51.6005077, -0.216258 51.6007452, -0.2149779 51.6012678, -0.2133643 51.6019875, -0.2132165 51.6020156, -0.211991 51.6022488, -0.2116906 51.601689, -0.2113558 51.6012891, -0.2112357 51.6009053, -0.2111241 51.6003668, -0.2110983 51.6002176, -0.2109696 51.6000683, -0.2112617 51.5997126, -0.2116639 51.5992132, -0.2119053 51.598913, -0.2123501 51.5986634, -0.2126866 51.5984855, -0.2133806 51.5981466, -0.2140968 51.5977729, -0.2142148 51.5976704, -0.2145049 51.5976837, -0.2148123 51.5974954, -0.2158862 51.5979077, -0.2178249 51.5979986, -0.2179112 51.5981503, -0.2178118 51.5985373, -0.2181559 51.5986832, -0.2181666 51.5988174, -0.2186852 51.5988669, -0.2188259 51.5985364))",,,,golf_course,Hendon Golf Course,"[24260935, 2087964681, 24260860, 24260799, 24260756, 2087966213, 24260723, 251397705, 251397704, 24260671, 2087976511, 24260649, 24260642, 2087976663, 24260587, 24260561, 24260512, 24260460, 2087957720, 24260420, 24261957, 2087957778, 2087957694, 8144692405, 8144692406, 24261959, 24261966, 24262012, 2087957718, 24262018, 24262023, 2087957715, 249407737, 249407736, 249407290, 14953556, 249407208, 249407209, 249406959, 249407210, 249407733, 24262117, 7054732518, 24262124, 24262168, 24261204, 24261173, 24261165, 24261162, 249407729, 574308572, 24261141, 574308565, 242700597, 2087964676, 574308196, 574308195, 574308194, 2087964647, 242700599, 24261032, 24260981, 574308189, 2087964638, 574308188, 2087964659, 2087964635, 24260935]",,,,,,18 hole Par 70,,,+44 20 8346 6023,https://www.hendongolf.com/,,,,,,,,,,,,,,,,,,,,,,,
