geometry,name,natural,source,nodes,operator,website,boundary,landcover,leisure,protection_title,url,surface,source:name,wikipedia,landuse,source:alt,managed,planting,building:levels,area,description,grassland,species,official_name,addr:city,addr:housename,addr:street,ways,type,wikidata
"POLYGON ((-0.1722298 51.6052064, -0.1721985 51.6054372, -0.1721797 51.6056696, -0.1722232 51.6061935, -0.1718872 51.6062367, -0.171178 51.6062159, -0.1708178 51.606166, -0.1706061 51.6061058, -0.1704424 51.6061139, -0.1693156 51.6061112, -0.1692107 51.6060344, -0.1688495 51.6060772, -0.1672515 51.6062667, -0.1667747 51.6063456, -0.1666056 51.6063597, -0.1664578 51.6063721, -0.1669239 51.6054445, -0.1680417 51.6047639, -0.1684685 51.6046033, -0.1710445 51.6038717, -0.1710672 51.6039242, -0.1710994 51.6040651, -0.1709975 51.604153, -0.1711767 51.604488, -0.1715473 51.6051222, -0.1716277 51.6051918, -0.171916 51.6052255, -0.1722298 51.6052064))",Glebelands Open Space,grassland,landsat,"[21042232, 21042233, 21042234, 21042239, 1984735711, 1984735697, 1984735686, 1984735714, 21042235, 1984735680, 21042236, 279562118, 1984735705, 1984735709, 279562117, 21042238, 442569606, 442569605, 1984743488, 21042230, 1984713577, 1984713551, 1984713583, 1984713571, 21042231, 1984713589, 1984713555, 21042232]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3395509 51.5568766, -0.3394066 51.5567563, -0.3392764 51.5566213, -0.3392086 51.5565136, -0.3393177 51.556347, -0.3394482 51.556254, -0.3397043 51.5561544, -0.3399358 51.5560137, -0.3401713 51.5558729, -0.340293 51.5558065, -0.3407541 51.5556209, -0.3413315 51.5558875, -0.3415952 51.5560449, -0.3416832 51.5561477, -0.3414925 51.5564066, -0.3409714 51.5566933, -0.3406922 51.5568136, -0.3404262 51.5569737, -0.3400914 51.5571124, -0.3395237 51.5572498, -0.3395276 51.5571517, -0.3396238 51.5570487, -0.3395509 51.5568766))",,grassland,,"[21320830, 21320829, 21776737, 21776736, 21320828, 42249782, 21320827, 21320826, 42249777, 21320825, 21320824, 21320823, 25273979, 21320822, 25273980, 21320821, 21320834, 21320833, 21320832, 21320831, 21776739, 21776738, 21320830]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1331102 51.6645088, -0.1326716 51.6646689, -0.1324393 51.6647649, -0.1321813 51.664973, -0.1313328 51.664973, -0.1309942 51.664861, -0.1307878 51.6647169, -0.1304781 51.6646529, -0.129962 51.6645889, -0.1296265 51.6645729, -0.1294717 51.6646849, -0.129033 51.6648129, -0.1286459 51.6648129, -0.1283363 51.6646529, -0.1280782 51.6644128, -0.1279319 51.6640394, -0.1285381 51.664348, -0.1289734 51.6644165, -0.1294884 51.6644621, -0.1300095 51.6645115, -0.1305122 51.6645495, -0.131064 51.6645724, -0.1316709 51.664561, -0.1322226 51.6645762, -0.1325537 51.6645381, -0.1331102 51.6645088))",,grassland,,"[87387603, 87387587, 87387585, 87387572, 87414340, 87387562, 87387489, 87387422, 87387421, 87387418, 87387417, 87387410, 87387405, 87387391, 87387390, 87387379, 87415594, 87415611, 87415613, 87415632, 87415633, 87415634, 87415667, 87415689, 87415690, 87387603]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1516892 51.6543154, -0.1513869 51.6544471, -0.1513741 51.6546001, -0.1513598 51.6547503, -0.1514246 51.6548828, -0.1515841 51.6549797, -0.1515592 51.6551126, -0.1516975 51.6553244, -0.1517691 51.655448, -0.1517301 51.6556957, -0.1516019 51.6557841, -0.1508471 51.6558901, -0.1504341 51.655952, -0.1502205 51.655952, -0.1502035 51.6560305, -0.1500453 51.6561518, -0.1500029 51.6562621, -0.1500587 51.6563611, -0.1503202 51.6563849, -0.150548 51.6563937, -0.1507326 51.6563003, -0.151048 51.6562459, -0.151488 51.6561905, -0.1519138 51.6561501, -0.1522143 51.6561463, -0.1525351 51.6571793, -0.1529122 51.6583728, -0.1528552 51.6583905, -0.1529264 51.6585142, -0.1530348 51.6586756, -0.1531787 51.6586752, -0.1532398 51.6588057, -0.1530694 51.6588381, -0.1524992 51.6590001, -0.1523995 51.6590001, -0.1521908 51.6589281, -0.1519474 51.6588041, -0.1516792 51.6587055, -0.1514168 51.6586909, -0.1511333 51.6587853, -0.1506477 51.6588764, -0.1504957 51.6587875, -0.1504106 51.6586374, -0.1502774 51.658364, -0.1500638 51.6579752, -0.1499926 51.657719, -0.1499671 51.6574958, -0.1499214 51.6572508, -0.1498041 51.6572474, -0.1496508 51.6571889, -0.1494038 51.6570903, -0.1491808 51.6570564, -0.1489458 51.6569299, -0.1489967 51.6567855, -0.1491818 51.6566644, -0.1493375 51.6564998, -0.1493659 51.6563319, -0.1494993 51.6561477, -0.1495653 51.6558989, -0.1495796 51.6557311, -0.1496081 51.6556427, -0.1495511 51.6554483, -0.1493517 51.6554483, -0.1490241 51.6553335, -0.1487126 51.6551893, -0.1483102 51.6551005, -0.1480787 51.6550574, -0.1477708 51.6549359, -0.1477708 51.6547238, -0.1479275 51.6544587, -0.1481305 51.6542042, -0.148927 51.6538151, -0.1490106 51.6536472, -0.1493046 51.6536566, -0.1497388 51.6536044, -0.1499223 51.6534616, -0.1501894 51.6535433, -0.1503776 51.6534534, -0.1506592 51.6535494, -0.1507738 51.653708, -0.1507741 51.653883, -0.1507293 51.6540807, -0.1506904 51.6542909, -0.1506904 51.6544411, -0.1509468 51.6544411, -0.1512174 51.6544322, -0.1513456 51.6543704, -0.151599 51.6542311, -0.1516892 51.6543154))",,grassland,,"[13591300, 88283808, 88283807, 88283806, 88283805, 88283804, 88283803, 88283800, 88283799, 88283798, 88283795, 88283794, 88283793, 88283791, 88283788, 88293538, 88293541, 88283781, 88283780, 88283779, 88283776, 88283773, 88283770, 88283769, 88283766, 88283761, 88283757, 88283756, 88283754, 88283498, 88283495, 88283492, 88283489, 88283487, 88283486, 88283484, 88283482, 88283481, 88283479, 88283477, 88283474, 88283473, 88283472, 88283469, 88283466, 88283463, 88283460, 88283458, 88283455, 88283453, 88283450, 88283448, 88283445, 88283444, 88283441, 88283439, 88283436, 88283434, 88283432, 88283429, 88283427, 88283426, 88283423, 88283421, 88283420, 88283417, 88283416, 88283413, 88283411, 88283408, 88283406, 88283405, 88283403, 88283400, 88283399, 88283396, 88283393, 88283391, 88283388, 88283386, 88283384, 88283382, 88283381, 88283380, 88283378, 88283376, 88283375, 88283374, 13591300]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1321712 51.6484363, -0.1321819 51.6484879, -0.1323885 51.6486011, -0.1326111 51.6487259, -0.1329626 51.6487884, -0.1332296 51.6488224, -0.1335408 51.6489136, -0.1335523 51.6487169, -0.133238 51.6487129, -0.133138 51.6486564, -0.1330302 51.6485068, -0.1330409 51.6483254, -0.1328266 51.6482296, -0.1324961 51.6480659, -0.1324659 51.6479702, -0.1324223 51.6479512, -0.13236 51.6479708, -0.1321978 51.6480217, -0.1322946 51.6480685, -0.1323214 51.6481384, -0.1322731 51.648195, -0.1322866 51.6482516, -0.1321605 51.6482882, -0.1321068 51.6483198, -0.13208 51.6483614, -0.1321712 51.6484363))",,grassland,,"[13591168, 88376274, 8464024064, 8464024063, 9501222135, 88261411, 88261410, 9501222128, 9501222129, 9501222127, 9501222130, 9501222132, 9501222133, 9501222134, 8464024048, 88376284, 9501022243, 8464024074, 8464024073, 8464024072, 8464024071, 8464024070, 8464024069, 8464024068, 8464024056, 13591168]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.0048213 51.404161, 0.0059971 51.4033311, 0.0062546 51.4032722, 0.0111985 51.4042574, 0.0116105 51.4045358, 0.0115246 51.4048999, 0.0114577 51.4049555, 0.0113035 51.4051283, 0.0111553 51.405309, 0.0106348 51.40638, 0.0090561 51.4056219, 0.0088124 51.4055049, 0.0082255 51.4052446, 0.0076451 51.4049267, 0.0071473 51.404932, 0.0066029 51.4048552, 0.0064263 51.4048303, 0.0061516 51.4049267, 0.0056796 51.4045519, 0.0048213 51.404161))",Queensmead Recreation Ground,grassland,,"[106204882, 106204884, 106204885, 106204886, 106204887, 106204888, 8960678561, 8960678560, 8960678562, 106204889, 6315737384, 311222451, 311222453, 106204891, 106204892, 5640104764, 106204893, 106204894, 106204896, 106204882]",London Borough of Bromley,https://www.bromley.gov.uk/directory_record/1212753/queensmead_recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1983793 51.3472019, -0.1983485 51.3474619, -0.1983353 51.3475732, -0.1973588 51.3475108, -0.1978976 51.3461963, -0.1984161 51.3451005, -0.198614 51.345115, -0.1987753 51.3452618, -0.1987883 51.3460713, -0.1986615 51.3462173, -0.198654 51.3464777, -0.1986005 51.346487, -0.198478 51.346486, -0.1984269 51.3468357, -0.1983793 51.3472019))",The Pastures,grassland,,"[8383566548, 8383566552, 8383566551, 8383566550, 1493657225, 247920105, 8383566567, 8383566568, 8383566569, 8383566570, 8383566572, 8383566571, 8383566547, 8383566527, 8383566548]",,,protected_area,grass,nature_reserve,Local nature reserve,https://www.sncv.org.uk/wildlife-on-suttons-doorstep/sites/belmont-pastures/,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4685658 51.5580305, -0.4675986 51.557836, -0.4670664 51.5573664, -0.467028 51.5573113, -0.4672651 51.5573466, -0.4676256 51.5574635, -0.4683344 51.5575906, -0.4686103 51.5576131, -0.4685658 51.5580305))",,grassland,,"[293801604, 240372793, 240372802, 240372801, 293801607, 293801608, 293801609, 569600913, 293801604]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4693816 51.5576189, -0.4686103 51.5576131, -0.4683344 51.5575906, -0.4676256 51.5574635, -0.4672651 51.5573466, -0.467028 51.5573113, -0.4664375 51.5570421, -0.4658305 51.5565553, -0.4662608 51.5564898, -0.4667157 51.5564898, -0.4669647 51.5564365, -0.4675569 51.556271, -0.4677114 51.556143, -0.46778 51.5553958, -0.4680375 51.5553211, -0.468428 51.5550546, -0.4692223 51.5551052, -0.469907 51.5546287, -0.4693942 51.5575103, -0.4693911 51.5575475, -0.4693816 51.5576189))",,grassland,,"[293801880, 569600913, 293801609, 293801608, 293801607, 240372801, 7833564133, 240372800, 293801883, 293801884, 293801885, 293801886, 293801887, 293802163, 293801889, 293801890, 293805185, 293801892, 8900669746, 336080240, 293801880]",,,,,,,,grass,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4646301 51.554051, -0.4645614 51.5542591, -0.464685 51.5544891, -0.4649939 51.5547112, -0.4652771 51.5549189, -0.4654713 51.5551086, -0.4655037 51.5552226, -0.4657718 51.5553308, -0.466208 51.5554195, -0.4665785 51.5554689, -0.4671504 51.5554462, -0.467437 51.5554398, -0.4676289 51.5554258, -0.46778 51.5553958, -0.4677114 51.556143, -0.4675569 51.556271, -0.4669647 51.5564365, -0.4667157 51.5564898, -0.4662608 51.5564898, -0.4658305 51.5565553, -0.4647404 51.5561391, -0.4638563 51.5558562, -0.4631269 51.5558071, -0.4628185 51.5557991, -0.4635572 51.5538322, -0.4646301 51.554051))",,grassland,,"[293802149, 293802150, 293802151, 293802152, 293802153, 293802154, 293802155, 293802156, 293802157, 293802158, 293802159, 293802161, 293802162, 293802163, 293801887, 293801886, 293801885, 293801884, 293801883, 240372800, 240372799, 240372798, 293802167, 293802200, 293802169, 293802149]",,,,,,,,grass,,,,,,,,,,,,,,,,,,
