created_by,geometry,source,barrier,nodes,natural,leisure,name,wikidata,wikipedia,designation,landuse,dominant_taxon,heath,description,note,area,ways,type
JOSM,"POLYGON ((-0.0106004 51.433218, -0.0096947 51.4334153, -0.0094884 51.4329848, -0.0087083 51.4331911, -0.0083317 51.4322854, -0.0098202 51.431828, -0.0106004 51.433218))",,,"[27002422, 27002423, 27002425, 27002426, 27002427, 27002429, 27002422]",heath,,,,,,,,,,,,,
,"POLYGON ((-0.3216194 51.4309814, -0.3218375 51.4310163, -0.3229873 51.4314877, -0.3237696 51.4319179, -0.3246915 51.4323426, -0.3248535 51.4324432, -0.3249932 51.4323426, -0.3253788 51.4325382, -0.3260113 51.4329752, -0.3266036 51.4333104, -0.3268829 51.4337351, -0.3272573 51.4351376, -0.3274696 51.4358472, -0.3280668 51.4368825, -0.3289286 51.4379899, -0.3285115 51.4378971, -0.3278094 51.4369926, -0.3274808 51.4367412, -0.3271958 51.4368809, -0.3272182 51.4371491, -0.3263912 51.4374396, -0.3252961 51.4377749, -0.3240948 51.4381716, -0.3235639 51.4384118, -0.3229828 51.4386409, -0.3227146 51.4387192, -0.3227675 51.4385362, -0.3227781 51.4384997, -0.3228315 51.438315, -0.3228425 51.4379003, -0.3227442 51.4373547, -0.3225498 51.4370432, -0.3222966 51.4366813, -0.3219734 51.4363195, -0.3214875 51.4359032, -0.3208338 51.4353862, -0.3203025 51.4349765, -0.3198647 51.4346061, -0.3195867 51.4342544, -0.3192848 51.4337097, -0.3190665 51.4333496, -0.3187039 51.4329936, -0.3193185 51.4326437, -0.3195922 51.4325348, -0.3203779 51.4321666, -0.3213465 51.4315542, -0.321368 51.4314442, -0.3214617 51.4312431, -0.3216194 51.4309814))",,,"[32554886, 1584446339, 32554887, 32554888, 32554889, 32554891, 32554892, 32554890, 32554893, 32554894, 32554895, 32554896, 32554897, 32554898, 32554899, 32554900, 32554901, 32554902, 32554903, 32554904, 32554905, 32554906, 32554907, 32554908, 32554909, 32554910, 5550319095, 4822354908, 32554871, 32554872, 32554873, 32554874, 32554875, 32554876, 32554877, 32554878, 32554879, 32554880, 32554881, 32554882, 32554884, 32554883, 9498253694, 9498253689, 9498253693, 9498253692, 32554885, 5818103521, 32554886]",heath,nature_reserve,Ham Lands,Q16892037,en:Ham Lands,,,,,,,,,
,"POLYGON ((-0.3184689 51.4315274, -0.3179311 51.4314144, -0.3178894 51.4314057, -0.3177421 51.4313748, -0.3176831 51.4313624, -0.3176642 51.4313582, -0.3174146 51.4313036, -0.3171805 51.431252, -0.3171773 51.4312581, -0.3171587 51.4312538, -0.3171303 51.4312471, -0.3170668 51.4312359, -0.3169857 51.4312136, -0.3169497 51.4311547, -0.3173484 51.43065, -0.3168677 51.4305063, -0.3165387 51.4303505, -0.3163384 51.4302798, -0.3158302 51.4301322, -0.3163156 51.4296055, -0.317081 51.4298652, -0.3179466 51.4301249, -0.3193635 51.4304802, -0.3208168 51.4308584, -0.321195 51.4313732, -0.3194727 51.4324161, -0.3193695 51.4323467, -0.3189461 51.4320617, -0.3187945 51.4319597, -0.318644 51.4318584, -0.3184297 51.4317142, -0.3184345 51.4316174, -0.3184689 51.4315274))",,,"[32554916, 9680063118, 9680063119, 9680063120, 32554918, 9680063127, 9680035551, 9680035553, 9680035552, 9680035568, 9474386649, 9474386659, 4822354680, 32554919, 32554920, 32554921, 32554922, 32554923, 32554924, 32554929, 32554930, 32554931, 32554932, 32554933, 32554912, 32554913, 9680063126, 9680063122, 9680063123, 9680063125, 1508691649, 32554915, 32554916]",heath,,,,,,,,,,,,,
,"POLYGON ((-0.3223923 51.4405988, -0.3220861 51.440277, -0.3217642 51.440222, -0.3215988 51.4401241, -0.3217171 51.4400414, -0.3221489 51.4396646, -0.32251 51.4392642, -0.3226514 51.4389423, -0.3227927 51.4388873, -0.3236249 51.4387303, -0.3239546 51.4385419, -0.3242686 51.4383456, -0.3243786 51.4383927, -0.3242765 51.438644, -0.3241273 51.4388167, -0.3237819 51.4388873, -0.3235228 51.4390208, -0.3232873 51.4391072, -0.3230125 51.4390758, -0.3227534 51.4390679, -0.3226514 51.4391621, -0.3226435 51.439272, -0.3226828 51.4393427, -0.3229026 51.4396175, -0.323146 51.4398059, -0.32346 51.4399865, -0.3236955 51.4400257, -0.323986 51.4399394, -0.3243943 51.4397195, -0.3247397 51.439539, -0.3251323 51.4394762, -0.3252893 51.4393505, -0.3254855 51.4392328, -0.3257289 51.4392799, -0.3258859 51.4393191, -0.3260901 51.4392092, -0.3263335 51.4389816, -0.3265611 51.4388088, -0.3267967 51.4387068, -0.3270479 51.4386283, -0.327307 51.4386126, -0.3275346 51.4386204, -0.327621 51.4388245, -0.3277623 51.4389344, -0.3280371 51.4388952, -0.3283668 51.4387774, -0.328571 51.4387303, -0.3286934 51.4386629, -0.328757 51.4384494, -0.3285775 51.43812, -0.3285435 51.4380723, -0.3289148 51.4381317, -0.3289799 51.4381421, -0.3291307 51.4381892, -0.3293303 51.4384357, -0.3293245 51.4385082, -0.3296167 51.4388249, -0.3296921 51.4390219, -0.3296305 51.4390385, -0.3297783 51.4392647, -0.3298695 51.4392496, -0.3301663 51.4399168, -0.3302181 51.4401057, -0.3302532 51.4403111, -0.3302622 51.4404839, -0.3302688 51.440839, -0.3302324 51.4410913, -0.3301477 51.4412181, -0.3299171 51.4417102, -0.3290554 51.4426575, -0.3284403 51.4430271, -0.3279453 51.443242, -0.3266976 51.4438093, -0.326153 51.4439731, -0.3246256 51.4444188, -0.3233319 51.4448413, -0.3222026 51.4452171, -0.3217393 51.4453591, -0.3211276 51.4455163, -0.3207071 51.4455968, -0.3199222 51.4456754, -0.3199186 51.4455125, -0.3193189 51.4453566, -0.3183043 51.4450429, -0.3183766 51.4449229, -0.3188842 51.4450191, -0.3191334 51.4449519, -0.3203459 51.4446443, -0.3221724 51.444226, -0.3224204 51.4441233, -0.322024 51.44353, -0.3215743 51.44307, -0.3224394 51.4427029, -0.3228633 51.4424517, -0.3227268 51.4419468, -0.3225957 51.441462, -0.3224246 51.4408293, -0.3223923 51.4405988))",,,"[32554966, 32554968, 32554967, 32554971, 32554972, 32554973, 32554974, 32554975, 32554976, 32554977, 32554978, 32554979, 32554980, 32554981, 32554982, 32554983, 32554984, 32554985, 32554986, 32554987, 32554988, 32554990, 32554989, 32554991, 32554992, 32554993, 32554994, 32554995, 32554996, 32554997, 32554998, 32554999, 32555000, 32555001, 32555002, 32555003, 32555004, 32555005, 32555006, 32555007, 32555008, 32555009, 32555010, 32555011, 32555012, 32555013, 32555014, 32554936, 32554935, 4958262113, 32554934, 4958262652, 32554937, 32554938, 76576128, 4956782830, 32554940, 4956782833, 4956782824, 4956782831, 76576127, 4956782832, 32554942, 4956782822, 32554943, 4956812613, 4956813733, 32554944, 32554945, 32554946, 2165691414, 32554947, 32554948, 32554949, 32554950, 32554951, 32554952, 4957138688, 32554953, 21134882, 32554955, 2165691417, 32554956, 2165691438, 2165691442, 2165691432, 32554957, 32554958, 32554959, 32554960, 32554961, 32554962, 32554963, 32554964, 30453885, 30453887, 30453884, 32554966]",heath,,,,,,,,,,,,,
,"POLYGON ((-0.0296312 51.6074077, -0.0302749 51.6074397, -0.0305925 51.6073704, -0.0301433 51.6066414, -0.0295217 51.6056985, -0.0294853 51.6056433, -0.0288624 51.6049353, -0.0287237 51.6048877, -0.0286541 51.6048624, -0.0285154 51.6048757, -0.027331 51.604881, -0.0273748 51.6042013, -0.0260235 51.6040937, -0.0261465 51.6045825, -0.0259748 51.6047744, -0.0256487 51.604945, -0.0254598 51.6050196, -0.0251423 51.6052648, -0.0267559 51.6060644, -0.027803 51.6066135, -0.0280691 51.6067307, -0.0285841 51.606864, -0.0290905 51.6070826, -0.0296312 51.6074077))",Survey,,"[248950115, 248950116, 248950117, 248950118, 5244124976, 248950119, 248950120, 2130514601, 2130514600, 248950121, 248950122, 248950123, 248950124, 248950125, 248950126, 248950127, 248950128, 248950129, 248950130, 248950131, 248950132, 248950133, 248950134, 248950115]",heath,,,,,Folly Lane Community Woodland,forest,,,,,,,
,"POLYGON ((0.0102835 51.5819658, 0.0106869 51.5820618, 0.0111128 51.5823395, 0.011324 51.5823988, 0.0116334 51.5824833, 0.0116479 51.5823036, 0.0116508 51.5821957, 0.0116768 51.5821167, 0.0117809 51.5820789, 0.0119631 51.5821382, 0.012043 51.5821845, 0.0122747 51.5824352, 0.0124577 51.5826109, 0.0124135 51.5826658, 0.0127353 51.5826899, 0.0127729 51.5825947, 0.0128756 51.5824885, 0.0130664 51.5824241, 0.012833 51.5823541, 0.0128487 51.5821695, 0.0129909 51.5821121, 0.0130526 51.5820552, 0.0129452 51.5820005, 0.0129614 51.5818645, 0.0130448 51.5816422, 0.013146 51.581511, 0.0133305 51.5814645, 0.0138368 51.5814935, 0.0139313 51.5814645, 0.013302 51.5810378, 0.0132843 51.5809003, 0.0130751 51.5809253, 0.0130115 51.5808434, 0.0130992 51.580692, 0.0129249 51.580602, 0.0130949 51.58043, 0.0132307 51.5803253, 0.0133943 51.5803486, 0.0134533 51.580502, 0.0137054 51.5803336, 0.0138449 51.5803403, 0.0138905 51.580502, 0.0140434 51.5804236, 0.0142955 51.5805337, 0.0144484 51.580362, 0.0146871 51.580282, 0.0148383 51.5803366, 0.0150517 51.580453, 0.0151991 51.5807278, 0.0156817 51.5810207, 0.0156479 51.5808138, 0.0163774 51.5793577, 0.0168066 51.5792884, 0.0173044 51.5795337, 0.0176477 51.5792137, 0.0176477 51.5785843, 0.0176477 51.5781042, 0.0175091 51.5776885, 0.0174454 51.5774873, 0.0174074 51.5773842, 0.0173387 51.5759279, 0.0173908 51.5748413, 0.0173785 51.5746769, 0.0173261 51.5744435, 0.0173129 51.5743246, 0.0172788 51.5742324, 0.0171248 51.5739724, 0.0170746 51.5738973, 0.0167483 51.573497, 0.0166952 51.5734214, 0.0165385 51.5732389, 0.0162916 51.5730634, 0.0162526 51.573046, 0.016075 51.5730125, 0.0160342 51.5730135, 0.0159641 51.573029, 0.0158864 51.5730595, 0.0158046 51.5731093, 0.0157561 51.5731542, 0.0156816 51.5732186, 0.0154995 51.5734352, 0.0153915 51.5735331, 0.0153587 51.5735883, 0.0153405 51.5737065, 0.0153005 51.5737176, 0.0152587 51.5737407, 0.0142802 51.5748253, 0.0136916 51.5753635, 0.0131028 51.5759679, 0.0126041 51.5763662, 0.0123438 51.5765599, 0.0120698 51.5767391, 0.0112876 51.5772924, 0.0107875 51.577498, 0.0108242 51.5777575, 0.010498 51.5779015, 0.0104551 51.5782376, 0.0097288 51.5784337, 0.0101322 51.5784817, 0.0104669 51.5786683, 0.0108274 51.5787857, 0.0116428 51.5791431, 0.0113979 51.5794023, 0.0114174 51.5795192, 0.0114712 51.5795698, 0.0115907 51.5795115, 0.0116848 51.579507, 0.0117124 51.579551, 0.0116857 51.5796284, 0.0115949 51.5797195, 0.0114503 51.5797709, 0.0112925 51.5797972, 0.0111996 51.5798332, 0.0111339 51.5798772, 0.0108829 51.5799506, 0.0107845 51.5800178, 0.0107524 51.5800801, 0.0107721 51.58014, 0.010839 51.5801907, 0.0108734 51.5802732, 0.0108704 51.5803005, 0.0108242 51.5803343, 0.0107416 51.5803538, 0.0106236 51.580352, 0.0105056 51.5803196, 0.0103897 51.5803111, 0.0100979 51.5803218, 0.0100198 51.5803655, 0.0100292 51.5804498, 0.0101103 51.5804926, 0.0103039 51.5805352, 0.0105433 51.5806003, 0.0107434 51.5807244, 0.0109047 51.5810312, 0.0108695 51.5811689, 0.0108189 51.5813025, 0.0106352 51.5814319, 0.0103298 51.5815003, 0.0100633 51.5815256, 0.0098798 51.5815681, 0.009952 51.581762, 0.0100153 51.5818133, 0.010128 51.5817266, 0.0105223 51.5817066, 0.010592 51.5817766, 0.0105008 51.58184, 0.010356 51.581895, 0.0102835 51.5819658))",,,"[35996585, 35996584, 2579751117, 35996583, 35996582, 2579751116, 2579751114, 2579751112, 2579751111, 2579751113, 35996581, 35996580, 35996579, 2579751121, 2579751122, 2579751120, 35996577, 4590277534, 4590277535, 35996576, 2579751115, 35996575, 2579751110, 35996574, 2579751109, 2579751108, 35996573, 35996572, 35996571, 35996570, 4590277514, 4590277515, 294650752, 4590277516, 4590277517, 35996569, 4590277518, 4590277519, 4590277520, 4590277521, 4590277522, 4590277523, 4590277527, 4590277524, 4590277525, 4590277526, 294650754, 3741813160, 3741813193, 35996567, 35997000, 35996999, 35996998, 35996997, 35996996, 35996995, 35996994, 35996993, 1436518775, 35996992, 35996991, 9812446752, 9812446751, 9812446749, 9812446748, 35996990, 9812446661, 9812446662, 7440804981, 35996989, 2337312166, 35996988, 2337312121, 316999588, 2337312113, 35996986, 2337312123, 2337312129, 35996985, 2337312162, 35996984, 2337312235, 2337312245, 2337312283, 2337312293, 2337312301, 35996983, 1857098771, 1857098790, 2372817063, 2372817064, 35996982, 5370283635, 35996981, 35996645, 35996643, 35996642, 274975117, 274975118, 274975119, 274975039, 274975040, 274975042, 3741813077, 274975043, 274975044, 3741813073, 3741813079, 274975045, 3741813084, 3741813086, 3741813088, 274975046, 3741813095, 3741813098, 274975047, 3741813110, 3741813115, 3741813122, 3741813129, 274975048, 3741813137, 274975050, 3741813146, 3741813136, 274975051, 274975052, 3741813144, 274975053, 3741813163, 274975054, 274975055, 3741813187, 274975056, 2362522433, 274975057, 3741813214, 274975058, 274975059, 283180868, 2865936708, 4590277540, 4590277539, 4590277538, 4590277536, 4590277537, 4590277541, 35996585]",heath,,Leyton Flats,,,,,,,,,,,
,"POLYGON ((-0.4539851 51.5173684, -0.4539709 51.517503, -0.4542059 51.5176031, -0.4542049 51.5176497, -0.4540494 51.51765, -0.4538187 51.517637, -0.4535341 51.5174283, -0.4534012 51.5172015, -0.4532094 51.5170514, -0.4528525 51.5168147, -0.4527347 51.5167423, -0.4527371 51.5165939, -0.4526804 51.5164354, -0.4525786 51.516328, -0.4525679 51.5162339, -0.4526029 51.5160909, -0.4526374 51.5160773, -0.4526842 51.5160589, -0.4530229 51.516087, -0.4533175 51.5160689, -0.4536798 51.5160604, -0.4538661 51.5160917, -0.4540792 51.5161865, -0.4543927 51.5164128, -0.4545664 51.5165401, -0.4544633 51.5168308, -0.4544645 51.5169637, -0.4548715 51.5169133, -0.454978 51.5169213, -0.4550483 51.5169417, -0.4549829 51.5170189, -0.4549153 51.5170899, -0.4548258 51.5171934, -0.4545663 51.5173266, -0.4543847 51.5171978, -0.454193 51.5171737, -0.454051 51.5172025, -0.4540192 51.5172634, -0.4539851 51.5173684))",yahoo,,"[449337314, 449337315, 8419078423, 449337316, 8419078422, 449337317, 449337318, 8419078430, 8419078429, 449337319, 449337320, 8419078421, 449337321, 8419075116, 449337323, 8379757242, 8570032232, 8419078417, 8383753863, 8383753864, 8379757243, 8419078419, 8419078418, 449337351, 449337353, 449337355, 8419075113, 8419078420, 449337356, 2822799631, 8419078431, 8419078428, 449337358, 8419078427, 8419078426, 8419078425, 8419078424, 8419075112, 449337314]",heath,,,,,,,,,,,,,
,"POLYGON ((0.046794 51.564404, 0.0466312 51.5644515, 0.0475258 51.5648677, 0.0479871 51.5651011, 0.0479227 51.5654346, 0.048148 51.5655346, 0.0487892 51.5656766, 0.0495197 51.5654856, 0.0509213 51.5657432, 0.051093 51.5659299, 0.0520924 51.565272, 0.0523216 51.5647677, 0.0520271 51.5644475, 0.0512165 51.5641274, 0.0517207 51.563247, 0.052289 51.5622658, 0.0523001 51.5619064, 0.0522095 51.5616885, 0.0515878 51.5620784, 0.05045 51.5632893, 0.0503212 51.5636308, 0.0501067 51.5639562, 0.048699 51.5635347, 0.0477265 51.5632253, 0.046794 51.564404))",,,"[2343346104, 8878352954, 616753975, 616753976, 616753977, 616753978, 616753979, 32860514, 32860513, 2343346110, 2343346111, 8878411177, 8878411179, 8878411181, 8878411183, 8878411185, 8878411187, 2343346117, 2343346109, 2343346108, 2343346107, 267538029, 34070570, 267538030, 2343346104]",heath,,,,,,,,,,,,,
,"POLYGON ((-0.0609524 51.362878, -0.0611093 51.362865, -0.0613028 51.3627931, -0.0613917 51.3627049, -0.0613656 51.3626102, -0.0611825 51.3625188, -0.0610622 51.3624372, -0.0609995 51.362362, -0.0609367 51.3622118, -0.060806 51.3621073, -0.0606804 51.3620093, -0.0605497 51.3619636, -0.0604137 51.3620028, -0.0605706 51.3621269, -0.0607432 51.3622151, -0.0607955 51.3623653, -0.060717 51.3624339, -0.0606857 51.3625221, -0.0607066 51.3626592, -0.060785 51.3627703, -0.0608426 51.3628323, -0.0609524 51.362878))",,,"[827426839, 827427277, 827426878, 827427205, 827426760, 827426915, 827427042, 827427250, 827426832, 827426966, 827427090, 827427111, 827427225, 827426787, 827426924, 827427153, 827427269, 827426863, 827426991, 827426999, 827427123, 827426839]",heath,,,,,,,,,,,,,
,"POLYGON ((-0.0627935 51.362362, -0.0630393 51.3623424, -0.0633688 51.3622869, -0.0635937 51.3621857, -0.0637244 51.3620191, -0.063782 51.3618526, -0.0636303 51.3617383, -0.0633217 51.3617252, -0.0629242 51.361735, -0.062715 51.3618069, -0.062396 51.3618689, -0.0622809 51.3619636, -0.0622129 51.3620714, -0.0622181 51.3621628, -0.0622809 51.3622543, -0.0624744 51.3623131, -0.0626104 51.362362, -0.0626732 51.3623653, -0.0627935 51.362362))",,,"[827427068, 827427244, 827426936, 827427080, 827427186, 827427279, 827426750, 827426910, 827427022, 827427142, 827426824, 827426957, 827427087, 827427201, 827427212, 827426764, 827426916, 827427060, 827427068]",heath,,,,,,,,,,,,,
