geometry,barrier,foot,source,name,access,note,ref,operator,natural,landuse,nodes,leisure,wikidata,wikipedia,addr:city,managed,contact:website,source:landuse,meadow,surface,boundary,protection_title,website,fixme,crop,source:name,landcover,name:en,abandoned:leisure,dog,fence_type,area,attraction,description,tourism,zoo,ways,type,operator:wikidata
POINT (-0.0951086 51.517927),,,,Barber-Surgeons Meadow,public,,,,,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0618763 51.5421417, -0.0617006 51.5414196, -0.0616973 51.5414062, -0.0616904 51.5413925, -0.061602 51.5410464, -0.0615916 51.5410054, -0.0615868 51.5409865, -0.0614829 51.5405795, -0.0621335 51.5404604, -0.0630493 51.5402927, -0.0630321 51.5402699, -0.0629699 51.5401921, -0.0626035 51.5396216, -0.0622346 51.5390651, -0.0621223 51.538889, -0.0620779 51.5388989, -0.0619116 51.5389381, -0.0618782 51.5388832, -0.0618601 51.5388556, -0.0616775 51.5388186, -0.0616129 51.5387977, -0.0615885 51.538755, -0.0615233 51.5384, -0.0613403 51.5382954, -0.0609007 51.5379473, -0.0608193 51.5379875, -0.0607112 51.5379482, -0.0607162 51.5378251, -0.0607413 51.5377844, -0.0606916 51.5377248, -0.0605602 51.53765, -0.0602877 51.5375724, -0.0598505 51.5375629, -0.0596562 51.5375548, -0.0594172 51.5375857, -0.059102 51.5376587, -0.0590297 51.5377309, -0.0591671 51.5377445, -0.0595769 51.5377468, -0.0595696 51.5382368, -0.0595752 51.5382671, -0.0598364 51.5382823, -0.0600101 51.538764, -0.0600236 51.5388097, -0.059303 51.5389511, -0.0593886 51.5392128, -0.0593867 51.5392484, -0.0593541 51.5392722, -0.0595449 51.5398181, -0.0594468 51.5400155, -0.0593905 51.5400945, -0.0593342 51.5401656, -0.059302 51.5401669, -0.0592318 51.5402835, -0.0591661 51.5403157, -0.0591102 51.5402906, -0.0589505 51.5404417, -0.0589017 51.5410314, -0.0588926 51.5410711, -0.0588859 51.5411132, -0.0588799 51.5411754, -0.0588623 51.5412152, -0.0584063 51.5417832, -0.0581819 51.5420962, -0.0581568 51.5420912, -0.0578465 51.5425639, -0.0580484 51.5429239, -0.0583536 51.5429615, -0.0583769 51.543064, -0.0587782 51.5431503, -0.0590054 51.5431179, -0.0591441 51.5434601, -0.0592044 51.5435135, -0.0592475 51.5435275, -0.0594525 51.5435577, -0.0597744 51.5435878, -0.0600759 51.54356, -0.0608524 51.5434752, -0.0609306 51.5434502, -0.0608389 51.5431182, -0.0610712 51.5430943, -0.060855 51.5424101, -0.0611576 51.5423775, -0.0611038 51.5422027, -0.0618763 51.5421417))",,,,London Fields,,,,,,meadow,"[26952357, 9990806757, 5544091962, 3635906686, 3635906684, 3635906683, 3635906681, 26952239, 8945162801, 26952240, 2410477721, 2780676098, 3644636110, 8914247829, 8914247828, 3703050725, 3703050726, 3703050723, 8914247825, 8914247826, 26952248, 9891130325, 670122038, 26952249, 1267855177, 4966316149, 3127933565, 4966316152, 4966316147, 4966296638, 26952287, 3127933563, 3127933555, 360464456, 3127933564, 3127933556, 26952310, 3912969832, 26952318, 3912969829, 26952338, 26952345, 2859249605, 26952346, 26952347, 9927092989, 9927092990, 3683934232, 360464448, 2859249607, 2859249606, 3683934245, 3683934239, 26952848, 3683934238, 3683934242, 26952847, 6865058492, 6865058493, 6865058500, 26952846, 6865058489, 6865058487, 10006532860, 10006532861, 26952844, 5862744624, 26952842, 5862744623, 8913593185, 26952838, 5862744622, 5862744621, 26952363, 5862744620, 5862744619, 53428992, 8913593184, 26952362, 26952361, 26952360, 53428952, 2411338807, 53428933, 26952357]",park,Q2911106,en:London Fields,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.2053802 51.6343523, -0.2064359 51.634299, -0.2086246 51.6341925, -0.2100665 51.6339368, -0.2118861 51.6336438, -0.2132423 51.6333614, -0.2166927 51.6326475, -0.2191989 51.6321254, -0.2225978 51.631582, -0.2238016 51.6309893, -0.2249152 51.6308894, -0.2263399 51.6307523, -0.2274215 51.6306603, -0.229395 51.6303325, -0.2308719 51.6300743, -0.2309416 51.6301552, -0.231099 51.6304485, -0.2294986 51.6305538, -0.2275245 51.6308574, -0.2264344 51.6310599, -0.2255855 51.6312455, -0.2247826 51.6314084, -0.2237882 51.6316173, -0.2236823 51.6316709, -0.2225073 51.6318724, -0.2170188 51.6328819, -0.213474 51.6336171, -0.2119291 51.6339634, -0.2099979 51.634363, -0.2092082 51.6345228, -0.2076804 51.6346027, -0.2065475 51.63464, -0.2055347 51.634656, -0.2053802 51.6343523))",,,,Totteridge Common,,,,,,meadow,"[30779074, 30779075, 30779076, 30779077, 30779078, 30779079, 30779080, 30779081, 30779082, 30779083, 30779084, 30779085, 30779086, 30779087, 30779088, 310661154, 30779089, 30779090, 30779091, 30779092, 30779093, 586867460, 1606841676, 30779094, 30779095, 30779096, 30779097, 30779098, 30779099, 30779100, 30779101, 30779102, 30779103, 30779074]",,,,London,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3005815 51.450311, -0.300368 51.4503212, -0.3003225 51.4503479, -0.3003082 51.4503367, -0.3001802 51.4502225, -0.300227 51.4502045, -0.3001581 51.4500866, -0.3000799 51.4499279, -0.3000247 51.4499015, -0.3000725 51.449869, -0.3000894 51.4498297, -0.3002072 51.4497463, -0.3003331 51.4497008, -0.3005106 51.4496075, -0.3005683 51.4495511, -0.3007578 51.4494091, -0.3011279 51.449168, -0.3012027 51.4491281, -0.3020599 51.4485272, -0.3023041 51.4483564, -0.3030549 51.4478754, -0.3031816 51.447747, -0.3037039 51.4475727, -0.3043127 51.447386, -0.3046577 51.4477028, -0.30512 51.4480292, -0.3056318 51.4484513, -0.3056842 51.4485176, -0.3056798 51.4485532, -0.3056791 51.4485591, -0.3056765 51.4485805, -0.3053022 51.4488673, -0.3051291 51.4490063, -0.3046263 51.4494099, -0.3042546 51.4497088, -0.3039538 51.4499999, -0.3034813 51.4505028, -0.3034442 51.4505315, -0.3030301 51.450998, -0.3026697 51.4513686, -0.3025709 51.4513914, -0.3025882 51.4514287, -0.3022342 51.451529, -0.3018639 51.4516253, -0.3017962 51.4516404, -0.3017709 51.4516571, -0.3017303 51.4516719, -0.3014246 51.4517693, -0.3012613 51.4516106, -0.3010455 51.451362, -0.3009648 51.4512478, -0.3008807 51.4511348, -0.3007636 51.4509385, -0.3006648 51.4507721, -0.3011832 51.4506226, -0.3010978 51.4505036, -0.3010043 51.4504326, -0.3007624 51.45033, -0.3005815 51.450311))",,,,Petersham Meadows,,,,,,meadow,"[32554854, 614824154, 4766723701, 4766723700, 4766723699, 4766723694, 4766723695, 4766723696, 4766723698, 4766723697, 4766723684, 4766723683, 4766723682, 4766723681, 4766723679, 4766723680, 4766723677, 614824155, 32554849, 614824170, 32554848, 5743095962, 32554847, 32554846, 5836239103, 32554845, 9110498136, 9110498135, 6277258058, 32554844, 9110498133, 32554869, 9110498132, 32554868, 3373607546, 32554867, 32554866, 3373607545, 3373607544, 32554865, 32554864, 3373607542, 32554863, 9110498128, 3373607543, 9110498129, 32554862, 32554861, 32554860, 32554859, 9110477782, 3373607540, 32554858, 32554857, 32554856, 3373605531, 32554855, 32554853, 32554854]",,Q107287786,en:Petersham Meadows,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.0609649 51.465612, 0.0587182 51.465216, 0.0585008 51.4650735, 0.0587583 51.4642046, 0.0589085 51.4638436, 0.0594192 51.4637001, 0.0593951 51.4638839, 0.0595396 51.4641731, 0.0599291 51.4645027, 0.0601887 51.4648048, 0.0601847 51.4649975, 0.0601659 51.4650456, 0.0604331 51.4648955, 0.0604879 51.4648977, 0.0605607 51.4649007, 0.060752 51.4651664, 0.0610875 51.4653261, 0.061326 51.46547, 0.0609649 51.465612))",,,,,,,,,meadow,meadow,"[382349828, 4085377251, 4085377249, 4085377248, 4085377247, 34815149, 2305241050, 2305241105, 2305241077, 2305241118, 2305240908, 2305241155, 2305241018, 2305241022, 2305241082, 2305241161, 382342056, 382337644, 382349828]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3623641 51.4991055, -0.3614675 51.4979541, -0.3617227 51.4977039, -0.3619641 51.4972589, -0.3620917 51.4968435, -0.3628626 51.4970201, -0.3631877 51.4971651, -0.3645478 51.4973866, -0.3643575 51.4977984, -0.3642515 51.4979419, -0.3633 51.4984317, -0.3626074 51.4988716, -0.3623641 51.4991055))",,,,Tentelow Meadow,,,,Ealing Council,,meadow,"[264386896, 264386815, 7544807098, 7544807097, 60670491, 7544807096, 264386900, 264386901, 264386903, 264386904, 264386906, 264386907, 264386896]",,,,,,https://www.ealing.gov.uk/info/201136/parks_in_the_borough/667/southall_parks/4,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0230848 51.6027713, -0.0230417 51.6017019, -0.023003 51.6016951, -0.0228914 51.6011566, -0.0186771 51.6015991, -0.0197586 51.6022389, -0.0205587 51.6027348, -0.0206341 51.6027826, -0.0230848 51.6027713))",,,,,,,,,,meadow,"[160532080, 160532078, 265267839, 265267840, 265267841, 265267842, 7431743656, 265267843, 160532080]",,,,,,,survey,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.2397383 51.6227449, -0.2405142 51.622311, -0.2412812 51.6220121, -0.2414819 51.6218998, -0.2417892 51.6216259, -0.2423283 51.6219809, -0.2418545 51.6222966, -0.2416771 51.6223242, -0.2410813 51.6225004, -0.2400616 51.6229482, -0.2397383 51.6227449))",,,,,,Village Green status applied for ref:H/00001/12/VG,,,,meadow,"[281707168, 281707169, 7997418213, 201991, 281707174, 281707315, 281707316, 281707317, 281707318, 281707319, 281707168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3579689 51.415001, -0.3577339 51.4155535, -0.3574217 51.4159671, -0.3571034 51.4165258, -0.357087 51.4169748, -0.357054 51.4170896, -0.3577696 51.4172064, -0.3579289 51.4173634, -0.3580082 51.4174048, -0.3581597 51.4176561, -0.3583095 51.4179063, -0.3576915 51.4175758, -0.3575362 51.4174985, -0.3561256 51.4171838, -0.3556626 51.4170781, -0.3556309 51.4170709, -0.3545803 51.4169876, -0.3547756 51.4163104, -0.3551736 51.4148138, -0.3555353 51.4137591, -0.3555791 51.4135763, -0.3557357 51.4129059, -0.3557791 51.4126604, -0.3562915 51.4127129, -0.3563348 51.4125305, -0.3563454 51.4124859, -0.356916 51.4125439, -0.3569272 51.4125062, -0.3571707 51.4125305, -0.3571546 51.4125867, -0.3572717 51.412599, -0.3572797 51.4125686, -0.3573293 51.412573, -0.3572842 51.4126965, -0.3574441 51.4127097, -0.3572741 51.4133165, -0.3571722 51.4136778, -0.3581394 51.4137623, -0.3580747 51.4144748, -0.3579689 51.415001))",,,,,,Horse Fields,,,,meadow,"[25253083, 1500647678, 25253267, 25253262, 8035856233, 25253259, 25253271, 8035856253, 8035856252, 8035856251, 25253413, 1500647679, 282462373, 282462374, 8035836330, 7917443211, 282462377, 282462378, 282462379, 8035836359, 1500650500, 8035856036, 1500650489, 1500650491, 8035856058, 1500650488, 8035856067, 8035856066, 8035856065, 8035856064, 8035856063, 8035856062, 8035856059, 8035856060, 25252615, 8035856042, 1761231192, 25253079, 25253080, 25253083]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.461373 51.5784034, -0.4616572 51.5786461, -0.4617729 51.5781913, -0.4618695 51.5776479, -0.4619178 51.5774912, -0.4620246 51.5773917, -0.4618346 51.5774045, -0.4617222 51.5773562, -0.4614403 51.5774645, -0.4613438 51.5775945, -0.4612794 51.5777712, -0.461203 51.5782686, -0.461373 51.5784034))",,,Bing,,,,,,,meadow,"[286362494, 6314730482, 6314731087, 6314730483, 6314731092, 6314731086, 6314722268, 6314731093, 6314731089, 6314731091, 6314730484, 6314731090, 286362494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
