barrier,geometry,source,name,nodes,description,landuse,surface,contact:twitter,website,produce,note,trees,opening_hours,operator,start_date,ways,type
wall,"POLYGON ((-0.2593369 51.4871051, -0.2586411 51.4865134, -0.2586655 51.4865014, -0.2589222 51.48638, -0.2592599 51.4862208, -0.2598918 51.4867471, -0.2599499 51.4867994, -0.2596193 51.4869631, -0.2593369 51.4871051))",,Nothern Walled Garden (Orchard),"[321321163, 321513384, 524409623, 524335990, 321513385, 527338686, 321513386, 524325654, 321321163]",Occasional Car Park,orchard,grass,,,,,,,,,,
,"POLYGON ((0.0528825 51.3314917, 0.0531456 51.3316562, 0.0528324 51.3317569, 0.0527442 51.3317767, 0.05266 51.3317589, 0.0525574 51.3316916, 0.0528825 51.3314917))",,,"[762644789, 762644807, 762644816, 1339089993, 762644819, 762644821, 762644789]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.0913913 51.4908681, -0.0912303 51.4906276, -0.0910694 51.4906944, -0.0911131 51.4908033, -0.0911338 51.4908548, -0.0908548 51.4910285, -0.090887 51.4910685, -0.0913913 51.4908681))",,Community Orchard,"[1013985180, 1013985185, 1013985187, 1014005421, 1013985190, 1013985192, 1013985197, 1013985180]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.0539071 51.568861, -0.0540305 51.5689461, -0.0541807 51.5689661, -0.0542632 51.569008, -0.0544137 51.5691216, -0.0540542 51.5692934, -0.053923 51.5694102, -0.053805 51.5692019, -0.0536816 51.5689634, -0.0538976 51.5688653, -0.0539071 51.568861))",Bing,Robin Hood Community Garden,"[1158917340, 1158917321, 1158917331, 9653005785, 1158917323, 1158917347, 1158917344, 1158917311, 1158917333, 9273021551, 1158917340]",,orchard,,hoodgarden,https://robinhoodgarden.wordpress.com/,,,,,,,,
,"POLYGON ((-0.0845875 51.5837208, -0.0846317 51.5834074, -0.0846666 51.5834083, -0.084617 51.5837258, -0.0845875 51.5837208))",,Avenue Orchard - Community Gardening,"[1237997057, 1237997056, 1237997055, 1237997053, 1237997057]",,orchard,,,https://avenueorchard.wikispaces.com/,,,,,,,,
,"POLYGON ((0.052275 51.3393617, 0.0522646 51.339425, 0.0522709 51.3394948, 0.0524885 51.3400348, 0.0532153 51.3398826, 0.054562 51.3396006, 0.0543232 51.3392399, 0.0542537 51.3390719, 0.0530628 51.3393551, 0.0528128 51.3393543, 0.0526579 51.3393696, 0.0524709 51.3393763, 0.052275 51.3393617))",,Downe Village Orchard,"[1591380063, 1591380114, 1591380132, 1591380393, 2074476761, 1591380179, 1591380038, 1591380019, 1591380060, 1591380058, 1591380078, 1591380082, 1591380063]",,orchard,,,,,,,,,,,
,"POLYGON ((-0.1181009 51.6197506, -0.1176387 51.6195833, -0.1173571 51.6198833, -0.1174223 51.6199069, -0.1178193 51.6200506, -0.1181009 51.6197506))",,,"[1778378542, 1778378553, 1778378543, 3396941930, 1778378546, 1778378542]",,orchard,,,,,,,,,,,
,"POLYGON ((0.0341666 51.3705494, 0.033615 51.3695919, 0.0347853 51.3693649, 0.0348292 51.3695274, 0.0348887 51.3697481, 0.034917 51.3698251, 0.0351288 51.3704019, 0.0341666 51.3705494))",Bing,,"[2038205172, 2038205167, 2038205156, 5510296558, 2038205169, 5510296183, 2038205170, 2038205172]",,orchard,,,,,,,,,,,
,"POLYGON ((0.0755536 51.6001136, 0.0760146 51.5997515, 0.075743 51.599606, 0.0753253 51.5994716, 0.0749505 51.5993263, 0.0746921 51.5992621, 0.0747057 51.5993461, 0.0747815 51.5996179, 0.075008 51.5999202, 0.0755536 51.6001136))",yahoo,,"[7988275548, 2129445537, 2129445463, 7988275545, 2129445386, 7988275550, 7988275555, 5195153084, 7988275547, 7988275548]",,orchard,,,,apple,,,,,,,
,"POLYGON ((-0.3547812 51.6237184, -0.3547475 51.6236831, -0.35457 51.6236633, -0.3542718 51.6236192, -0.3540854 51.6236192, -0.3540943 51.6237261, -0.3541067 51.6238561, -0.3541475 51.6239079, -0.3543463 51.6238925, -0.3547066 51.6237933, -0.3548078 51.623757, -0.3547812 51.6237184))",,Gilberts Orchard,"[2267359428, 2267359427, 2267359424, 2267359420, 2267359419, 2267359430, 2267359435, 2267359439, 2267359437, 2267359433, 2267359431, 2267359428]",,orchard,,,,,"Including Blenheim Orange, Bismark, looked rather disused, but may be due to Covid",apple_trees,,,,,
