access,barrier,bicycle,opening_hours,wheelchair,geometry,highway,created_by,source,man_made,ref,survey:date,foot,name,place,access:conditional,horse,fixme,amenity,operator,height,name:ru,note,check_date,covered,description,source:name,leisure,natural,alt_name,addr:city,addr:postcode,addr:street,brand,fee,layer,operator:wikidata,species,leaf_cycle,leaf_type,species:en,wikidata,dogs,historic,start_date,dog,tourism,opening_hours:url,surface,designation,contact:phone,addr:housename,website,level,addr:housenumber,operator:type,nodes,name:alt,wikipedia,GBV,wikimedia_commons,barbecue,fire,litter,moped,source:designation,name:uk,heritage,heritage:operator,listed_status,ref:GB:nhle,landuse,wikipedia:es,name:ar,name:arz,name:cs,name:cy,name:da,name:de,name:en,name:es,name:eu,name:fa,name:fr,name:ga,name:he,name:id,name:is,name:it,name:ja,name:ko,name:lt,name:nl,name:nn,name:no,name:pl,name:scn,name:sh,name:sk,name:sv,name:tr,name:yue,name:zh,is_in,phone,not:name,fence_type,private,official_name,sport,he:inscription_date,heritage:website,type,owner,email,ref:he,loc_name,landuse_2,area,is_in:district,name:zh-Hans,golf,FIXME,boundary,building,landuse_1,grassland,url,old_name,smoking,fence:height,contact:website,smokefree,disused,postal_code,not:addr:postcode,wikipedia:en,fhrs:id,source:addr,previous_id,garden:type,wheelchair:description:en,protection_title,name:etymology:wikidata,park,incorrect_name,denomination,religion,landcover,name:ur,lit,light:colour,contact:fax,dog:conditional,level:ref,note:level,opening_hours:note,bbq,BROADHAB,CREATEDATE,CREATEDBY,HABDEFVER,INCID,INTERPQUAL,NBNPRIHAB,PHABFEANOT,PRIDET,PRIHAB,PRIHABTXT,S1BOUNDARY,S1CAPTDATE,S1HABCLASS,S1HABID,S1HABTYPE,SOURCE1TXT,construction,name:ast,name:az,name:be,name:bg,name:bn,name:br,name:ca,name:ceb,name:et,name:fi,name:hi,name:hr,name:hu,name:hy,name:ka,name:lv,name:mr,name:ms,name:nan,name:pt,name:ro,name:sr,name:th,name:vi,name:wuu,protect_class,addr:country,addr:suburb,toilets,ruins,leisure_1,maxspeed,architect,previously,note:history,not:designation,disused:leisure,bench,opening_hours:covid19,image,name:etymology,name:etymology:wikipedia,ways,contact:email,golf:course,golf:par,contact:twitter
,,,,,POINT (0.0976572 51.4892273),,,Yahoo,,,,,Plumstead Gardens,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.0506518 51.4195343),,,,,,,,Alexandra Recreation Ground,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.0654772 51.4902639),,,London Borough of Southwark,,,,,,,,,,,London Borough of Southwark,,,Accurate as of 2010,,,,,park,,,,,,,,,,Platanus X hispanica,deciduous,broadleaved,London plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.1029628 51.5005211),,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.1026154 51.5002933),,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.100114 51.5000017),,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.1969465 51.4768333),,,,,,,,Birdwatch,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.2077559 51.6134673),,,,,,,,Panoramic Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24/7,,POINT (-0.1288306 51.5292528),,,,,,,,Levita House Plantation,,,,,,Camden,,,,,,This area has newly been upgraded for the residents of Levita house to start gardening and growing small vegetables and fruits where possible,,park,,,London,NW1 1JJ,Chalton Street,,,,,,,,,,,,,,,,,,,Levita House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.1042636 51.5023583),,,,,,,,,,,,,,,,,,,,it is a place where we can refresh ourselves through fresh air and do walking,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24/7,,POINT (-0.0322818 51.5498054),,,,,,,,Mabley Edible Garden,,,,,,,,,,,,"Mabley Edible Garden planted 2016 maintained by volunteers. For contact details visit the Facebook page.
",,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POINT (-0.1557897 51.5303758),,,,,,,,Bird watching area,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
