leisure,name,name:ru,sport,website,wikidata,wikipedia,geometry,created_by,barrier,note,bicycle,natural,operator,source,addr:city,addr:street,phone,check_date,access,survey:date,capacity,lit,covered,name:en,surface,tourism,addr:housename,description,fee,start_date,opening_hours,hoops,indoor,height,athletics,colour,nodes,number,organisation,layer,operator:wikidata,reservation,addr:postcode,fhrs:id,source:addr:postcode,FIXME,fixme,alt_name,number_of,is_in,dog,location,wheelchair,club,sport:bowls,sport:tennis,brand,fence_type,addr:housenumber,building,fhrs:authority,fhrs:inspectiondate,fhrs:rating,soccer,source:addr,amenity,playground:theme,old_name,source:sport,postal_code,url,source:name,sport_1,designation,name:source,name:cy,courts,contact:website,parking,phone:note,addr:country,short_name,area,disused,pitch:count,animal_keeping,animal_keeping:type,landuse,est_height,contact:instagram,sport:basketball,sport:soccer,bowls,quantity,name:ace,name:af,name:als,name:am,name:an,name:ar,name:arz,name:ast,name:az,name:azb,name:ban,name:bat-smg,name:be,name:be-x-old,name:bg,name:bh,name:bn,name:bs,name:ca,name:ckb,name:cs,name:cv,name:da,name:de,name:diq,name:el,name:es,name:et,name:eu,name:fa,name:fi,name:fo,name:fr,name:ga,name:gl,name:gu,name:ha,name:he,name:hi,name:hif,name:hr,name:hu,name:hy,name:id,name:is,name:it,name:ja,name:jv,name:ka,name:kaa,name:kk,name:km,name:kn,name:ko,name:ku,name:lb,name:lo,name:lt,name:lv,name:mai,name:min,name:mk,name:ml,name:mn,name:mr,name:ms,name:mt,name:my,name:nap,name:ne,name:nl,name:nn,name:no,name:ny,name:pa,name:pl,name:pt,name:qu,name:ro,name:sco,name:sh,name:sk,name:sl,name:so,name:sq,name:sr,name:su,name:sv,name:sw,name:szl,name:ta,name:th,name:tk,name:tr,name:tt,name:uk,name:uz,name:vi,name:wo,name:wuu,name:xh,name:xmf,name:yo,name:yue,name:zh,check_date:lit,source:geometry,goals,pitch,ref,addr:place,boules,email,max_age,smoking,vehicle,access:conditional,ele,historic:leisure,brand:website,brand:wikidata,brand:wikipedia,playground,athletics:long_jump,athletics:triple_jump,nature,level,oneway,construction,proposed,landcover,danger,informal,ways,type,boundary
pitch,The Royal Tennis Court,Реал-теннис,real_tennis,http://www.royaltenniscourt.com/,Q7374904,"en:Royal Tennis Court, Hampton Court",POINT (-0.3362247 51.4044344),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,Kilburn Cosmos RFC,,rugby,,,,POINT (-0.2302823 51.5559331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,,,,,,,POINT (-0.0689373 51.5657572),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,,,table_tennis,,,,POINT (-0.1731346 51.4180717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,Addiscombe Cricket Club,,cricket,,,,POINT (-0.074993 51.3692162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,,,fitness_trail,,,,POINT (0.0806879 51.5481395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,,,fitness_trail,,,,POINT (0.0800818 51.5473356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,,,eton_fives,,,,POINT (0.0750522 51.3513573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,Pymmes Park Bowls Club,,bowls,,,,POINT (-0.0709549 51.615786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch,Stallions Training field,,rugby,,,,POINT (-0.315258 51.561627),,,,,,Wembley Stallions AFC,,Wembley,East Lane,+44 7957 424218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
