Codes;Names;Borough;Population;Hectares;Square Kilometres;Population per hectare;Population per square kilometre;;Census population (2011);Population per hectare
E09000001;City of London;City of London;0;315.1;3.2;0.0;0;;7,375;23.4
E05000026;Abbey;Barking and Dagenham;8,289;127.9;1.3;64.8;6,481;;12,786;100.0
E05000027;Alibon;Barking and Dagenham;17,574;136.1;1.4;129.1;12,913;;10,385;76.3
E05000028;Becontree;Barking and Dagenham;11,324;128.4;1.3;88.2;8,819;;11,545;89.9
E05000029;Chadwell Heath;Barking and Dagenham;14,751;338;3.4;43.6;4,364;;10,021;29.6
E05000030;Eastbrook;Barking and Dagenham;11,240;345.4;3.5;32.5;3,254;;10,506;30.4
E05000031;Eastbury;Barking and Dagenham;10,964;144.5;1.4;75.9;7,588;;11,624;80.4
E05000032;Gascoigne;Barking and Dagenham;12,263;113.4;1.1;108.1;10,814;;12,452;109.8
E05000033;Goresbrook;Barking and Dagenham;17,432;128;1.3;136.2;13,619;;11,267;88.0
E05000034;Heath;Barking and Dagenham;12,496;200.5;2.0;62.3;6,232;;10,786;53.8
E05000035;Longbridge;Barking and Dagenham;11,832;164;1.6;72.1;7,215;;11,478;70.0
E05000036;Mayesbrook;Barking and Dagenham;12,153;185.1;1.9;65.7;6,566;;10,342;55.9
E05000037;Parsloes;Barking and Dagenham;11,317;124.3;1.2;91.0;9,105;;9,839;79.2
E05000038;River;Barking and Dagenham;10,306;355.2;3.6;29.0;2,901;;10,923;30.8
E05000039;Thames;Barking and Dagenham;14,146;788.4;7.9;17.9;1,794;;10,728;13.6
E05000040;Valence;Barking and Dagenham;21,082;129.3;1.3;163.0;16,305;;9,867;76.3
E05000041;Village;Barking and Dagenham;11,709;214;2.1;54.7;5,471;;10,787;50.4
E05000042;Whalebone;Barking and Dagenham;11,043;155.4;1.6;71.1;7,106;;10,575;68.1
E05000043;Brunswick Park;Barnet;12,771;317.4;3.2;40.2;4,024;;16,394;51.7
E05000044;Burnt Oak;Barnet;16,787;206.4;2.1;81.3;8,133;;18,217;88.3
E05000045;Childs Hill;Barnet;20,202;308.9;3.1;65.4;6,540;;20,049;64.9
E05000046;Colindale;Barnet;22,858;264.2;2.6;86.5;8,652;;17,098;64.7
E05000047;Coppetts;Barnet;33,098;272;2.7;121.7;12,168;;17,250;63.4
E05000048;East Barnet;Barnet;17,726;375.2;3.8;47.2;4,724;;16,137;43.0
E05000049;East Finchley;Barnet;17,771;252.4;2.5;70.4;7,041;;15,989;63.3
E05000050;Edgware;Barnet;17,268;556;5.6;31.1;3,106;;16,728;30.1
E05000051;Finchley Church End;Barnet;21,591;270.9;2.7;79.7;7,970;;15,715;58.0
E05000052;Garden Suburb;Barnet;17,095;473.1;4.7;36.1;3,613;;15,929;33.7
E05000053;Golders Green;Barnet;16,831;297.8;3.0;56.5;5,652;;18,818;63.2
E05000054;Hale;Barnet;23,985;542.2;5.4;44.2;4,424;;17,437;32.2
E05000055;Hendon;Barnet;18,741;284;2.8;66.0;6,599;;18,472;65.0
E05000056;High Barnet;Barnet;20,159;830.9;8.3;24.3;2,426;;15,307;18.4
E05000057;Mill Hill;Barnet;16,064;938.7;9.4;17.1;1,711;;18,451;19.7
E05000058;Oakleigh;Barnet;25,613;331.7;3.3;77.2;7,722;;15,811;47.7
E05000059;Totteridge;Barnet;17,029;876.8;8.8;19.4;1,942;;15,159;17.3
E05000060;Underhill;Barnet;17,730;455.2;4.6;38.9;3,895;;15,915;35.0
E05000061;West Finchley;Barnet;16,592;216.1;2.2;76.8;7,678;;16,533;76.5
E05000062;West Hendon;Barnet;17,794;342.6;3.4;51.9;5,194;;17,402;50.8
E05000063;Woodhouse;Barnet;21,265;261.2;2.6;81.4;8,141;;17,575;67.3
E05000064;Barnehurst;Bexley;18,844;287;2.9;65.7;6,566;;10,418;36.3
E05000065;Belvedere;Bexley;11,441;316.1;3.2;36.2;3,619;;11,890;37.6
E05000066;Blackfen and Lamorbey;Bexley;13,709;168.7;1.7;81.3;8,126;;10,616;62.9
E05000067;Blendon and Penhill;Bexley;10,973;209.8;2.1;52.3;5,230;;10,910;52.0
E05000068;Brampton;Bexley;11,000;197.3;2.0;55.8;5,575;;10,546;53.5
E05000069;Christchurch;Bexley;11,228;254.8;2.5;44.1;4,407;;10,965;43.0
E05000070;Colyers;Bexley;12,749;164.1;1.6;77.7;7,769;;11,128;67.8
E05000071;Crayford;Bexley;10,874;396.8;4.0;27.4;2,740;;11,226;28.3
E05000072;Cray Meadows;Bexley;14,450;718.4;7.2;20.1;2,011;;11,207;15.6
E05000073;Danson Park;Bexley;12,437;271.6;2.7;45.8;4,579;;10,864;40.0
E05000074;East Wickham;Bexley;11,697;216.9;2.2;53.9;5,393;;10,858;50.1
E05000075;Erith;Bexley;11,773;475.6;4.8;24.8;2,475;;12,053;25.3
E05000076;Falconwood and Welling;Bexley;15,914;166.5;1.7;95.6;9,558;;10,800;64.9
E05000077;Lesnes Abbey;Bexley;11,360;237;2.4;47.9;4,793;;11,346;47.9
E05000078;Longlands;Bexley;13,178;259.2;2.6;50.8;5,084;;10,442;40.3
E05000079;North End;Bexley;11,054;568.9;5.7;19.4;1,943;;11,566;20.3
E05000080;Northumberland Heath;Bexley;14,025;176.3;1.8;79.6;7,955;;10,598;60.1
E05000081;St. Mary's;Bexley;10,756;442.9;4.4;24.3;2,429;;10,491;23.7
E05000082;St. Michael's;Bexley;11,981;144.4;1.4;83.0;8,297;;11,135;77.1
E05000083;Sidcup;Bexley;11,656;270.2;2.7;43.1;4,314;;10,844;40.1
E05000084;Thamesmead East;Bexley;12,411;483.7;4.8;25.7;2,566;;12,094;25.0
E05000085;Alperton;Brent;13,940;205.8;2.1;67.7;6,774;;14,017;68.1
E05000086;Barnhill;Brent;18,922;297.5;3.0;63.6;6,360;;15,772;53.0
E05000087;Brondesbury Park;Brent;17,047;172.2;1.7;99.0;9,900;;13,023;75.6
E05000088;Dollis Hill;Brent;13,326;229.8;2.3;58.0;5,799;;13,425;58.4
E05000089;Dudden Hill;Brent;14,354;168.2;1.7;85.3;8,534;;15,059;89.5
E05000090;Fryent;Brent;17,229;265.8;2.7;64.8;6,482;;13,445;50.6
E05000091;Harlesden;Brent;14,821;111.5;1.1;132.9;13,292;;17,162;153.9
E05000092;Kensal Green;Brent;16,248;112.1;1.1;144.9;14,494;;14,915;133.1
E05000093;Kenton;Brent;15,123;225;2.3;67.2;6,721;;12,133;53.9
E05000094;Kilburn;Brent;12,853;94.4;0.9;136.2;13,615;;16,989;180.0
E05000095;Mapesbury;Brent;18,410;139.4;1.4;132.1;13,207;;15,529;111.4
E05000096;Northwick Park;Brent;16,074;267.3;2.7;60.1;6,013;;12,811;47.9
E05000097;Preston;Brent;12,390;239.5;2.4;51.7;5,173;;15,474;64.6
E05000098;Queens Park;Brent;16,137;148.9;1.5;108.4;10,837;;15,281;102.6
E05000099;Queensbury;Brent;15,766;205;2.1;76.9;7,691;;15,155;73.9
