created_by,geometry,barrier,foot,source,access,description,landuse,highway,fixme,wheelchair,surface,name,operator,leaf_cycle,leaf_type,natural,opening_hours,note,nodes,sport,contact:website,wikidata,source:name,wikipedia,addr:city,addr:postcode,addr:street,leisure,old_name,alt_name,dog,private,landuse_2,operator:type,operator:wikidata,website,postal_code,lit,email,phone,public,not:name,area,golf:course,name:ga,addr:housenumber,source:alt_name,fhrs:id,source:addr,access:note,wheelchair:description,url,club,survey:date,owner,historic:leisure,name:en,name:zh,building,addr:housename,golf,pets_allowed,addr:country,addr:suburb,landcover,source:geometry,fence_type,level,mtb,amenity,community_centre,community_centre:for,facebook,ways,type,maxspeed,designation
,POINT (-0.1937403 51.4496172),,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POINT (-0.09177 51.493396),,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0068514 51.4397437, -0.0067979 51.4393669, -0.0067647 51.4391346, -0.006643 51.4389023, -0.0064695 51.4387287, -0.0067549 51.4387236, -0.0067414 51.4386587, -0.008111 51.4386579, -0.0082003 51.4397569, -0.0068514 51.4397437))",,,,,,recreation_ground,,,,,,,,,,,,"[20694288, 20694289, 20694290, 20694291, 20694292, 6616045926, 6616045925, 20694286, 20694287, 20694288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3567239 51.5565219, -0.355617 51.556181, -0.3546863 51.5560073, -0.3539903 51.556036, -0.3539684 51.5563304, -0.3539665 51.5563624, -0.3539631 51.5563921, -0.3538836 51.556903, -0.3567239 51.5565219))",,,,,,recreation_ground,,,,,Wood End West Recreation Ground,,,,,,,"[21320878, 266378593, 21320880, 21320881, 7430882227, 2322041525, 7430882233, 21320883, 21320878]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSM,"POLYGON ((-0.1561088 51.3825558, -0.1554851 51.3827013, -0.1559224 51.3834497, -0.1565867 51.383327, -0.1561088 51.3825558))",,,,,,recreation_ground,,,,,,,,,,,,"[21664315, 21664316, 21664318, 21664320, 21664315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2307732 51.5588183, -0.2307097 51.558848, -0.2303723 51.5585958, -0.2304073 51.5584544, -0.2306743 51.5582986, -0.2309533 51.5582853, -0.2314858 51.5580654, -0.2317644 51.5579529, -0.2315901 51.5577461, -0.2313862 51.5576994, -0.2303954 51.5579299, -0.2297195 51.5582167, -0.2287539 51.5586569, -0.2276747 51.559162, -0.2287281 51.5600022, -0.2286686 51.5600529, -0.228622 51.5601214, -0.228995 51.560231, -0.2290114 51.560353, -0.2292045 51.560373, -0.2292903 51.5605665, -0.2295105 51.5606424, -0.2317149 51.5595321, -0.2307732 51.5588183))",,,,,,recreation_ground,,,,,,,,,,,,"[2516302624, 2516302646, 629303687, 2516302616, 21763901, 21763898, 21764246, 21764247, 21764248, 21763741, 21763742, 21763743, 21763754, 620020517, 21763889, 629304065, 629304071, 21763891, 21763892, 21763893, 21763894, 21764250, 21763896, 2516302624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3428845 51.5725543, -0.3429372 51.5723631, -0.3430442 51.5720081, -0.3432076 51.5718629, -0.3434872 51.5716287, -0.3437387 51.5715064, -0.3438801 51.5714547, -0.3441414 51.5714112, -0.3443961 51.5713527, -0.3448203 51.5713165, -0.3450229 51.5713511, -0.3451897 51.5714013, -0.3453438 51.5714973, -0.3453383 51.5715568, -0.3452998 51.5716492, -0.3449875 51.5720802, -0.3448085 51.5723374, -0.3447164 51.5725057, -0.344581 51.5726326, -0.3444075 51.5727257, -0.344211 51.5728051, -0.3440986 51.5728443, -0.3439509 51.572859, -0.3434236 51.5727102, -0.3430243 51.5725973, -0.3428845 51.5725543))",,,,,,recreation_ground,,,,,Sixth Form Ground,,,,,,,"[21652076, 392870564, 21652075, 392870565, 21652074, 392186274, 392870566, 21652073, 392870567, 21652072, 21652082, 392870568, 392186276, 392870569, 21652081, 21652080, 392186278, 21652079, 392186280, 21652078, 392186282, 392186283, 21652077, 21652083, 392186285, 21652076]",cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2158436 51.5393605, -0.2147666 51.5388351, -0.2150852 51.5385687, -0.215407 51.5383123, -0.2157577 51.5380562, -0.2160617 51.5378342, -0.2161028 51.5378601, -0.2165604 51.5381484, -0.2168985 51.5383614, -0.2177482 51.5388912, -0.2177865 51.5389181, -0.2173117 51.53915, -0.2164908 51.5397094, -0.2164267 51.5396748, -0.2158436 51.5393605))",,,,,,recreation_ground,,,,,Tiverton Green,,,,,,,"[22923956, 22924008, 2578857229, 2578857207, 4103115931, 22924020, 2578857133, 2578857187, 22924030, 4103116055, 22924039, 2619559676, 22923923, 2619559679, 22923956]",,http://tivertongreen.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.142362 51.6422452, -0.1426899 51.64266, -0.1430273 51.6428862, -0.1431713 51.6430541, -0.1433926 51.6434992, -0.1439081 51.6441318, -0.1442775 51.6448573, -0.1428553 51.6451657, -0.1425383 51.6446606, -0.1424004 51.6446925, -0.1420115 51.6441971, -0.1414606 51.6432004, -0.142362 51.6422452))",,,,,,recreation_ground,,,,grass,Bramley Sports Ground,,,,,,,"[24282727, 7896653551, 7896653550, 7896653542, 24282793, 24282833, 24282494, 24282524, 5376837084, 4476696161, 24282586, 24282645, 24282727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2218346 51.5446962, -0.2213089 51.5445777, -0.2212553 51.5446645, -0.2211399 51.5446361, -0.2209012 51.5450398, -0.2198847 51.5447946, -0.2205865 51.5436938, -0.2206872 51.543588, -0.2208977 51.5433669, -0.2211766 51.5432134, -0.2214126 51.5433202, -0.2222262 51.5440773, -0.2220653 51.5442725, -0.221958 51.5444526, -0.2218346 51.5446962))",,,,,,recreation_ground,,,,,South Hampstead Tennis and Cricket Clubs,,,,,,,"[25236352, 5345578621, 5345578622, 25236355, 25236357, 25236366, 25236375, 5345610589, 25236376, 25236380, 25236384, 25236349, 5345578620, 5345578619, 25236352]",cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3335205 51.5588562, -0.333714 51.5589236, -0.3319438 51.5605645, -0.3305098 51.5599352, -0.3312029 51.5591849, -0.3284891 51.5579965, -0.3292616 51.557236, -0.3306885 51.5575229, -0.3317235 51.5577758, -0.3325982 51.5580594, -0.3324373 51.5583433, -0.333478 51.5585434, -0.3335205 51.5588562))",,,,,,recreation_ground,,,,,Post Office Sports Club,,,,,,OS gives name as Sudbury Hill playing fields.,"[25262322, 25262324, 25262325, 25262326, 25262327, 25262305, 25262308, 25262310, 1333892217, 25262317, 25262319, 25262320, 25262322]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2963432 51.5194044, -0.2963163 51.5192402, -0.2961205 51.5190982, -0.2961954 51.5180514, -0.2966222 51.5180637, -0.2971406 51.5180952, -0.2986069 51.5183738, -0.2984604 51.5186462, -0.2981 51.5193163, -0.2966244 51.5193903, -0.2963432 51.5194044))",,,,,,recreation_ground,,,,,Ealing Cricket Club,,,,,,,"[25441681, 25441683, 25441685, 25441688, 3203059742, 25441692, 25441697, 3203060448, 25441677, 4515099796, 25441681]",cricket,,Q5325479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
