created_by,geometry,name,natural,source,note,barrier,wikidata,access,material,traffic_calming,operator,wheelchair,nodes,leisure,wikipedia,arivac:typetxt,landuse,website,source:access,designation,old_name,disused,description,layer,fixme,leaf_cycle,leaf_type,landcover,operator:wikidata,island,area,disused:leisure,place,verge,fence_type,height,start_date,wall,kerb,kerb:height,shrubbery:density,level,ways,type
,"POLYGON ((-0.0116348 51.4273311, -0.011571 51.4273458, -0.011571 51.4273762, -0.0115558 51.4273968, -0.011625 51.4274572, -0.0117153 51.427456, -0.011747 51.4274239, -0.0117467 51.4273827, -0.011699 51.4273543, -0.0116348 51.4273311))",,scrub,,,,,,,,,,"[21577200, 311374303, 9523578121, 311374304, 21577201, 311374305, 9523578120, 21577199, 311374306, 21577200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potlatch 0.10f,"POLYGON ((-0.0531386 51.3995624, -0.0530116 51.3995041, -0.0528586 51.3994675, -0.052737 51.3994548, -0.0526144 51.3994328, -0.0525369 51.3994424, -0.0524708 51.399472, -0.0524228 51.3994982, -0.0524011 51.399539, -0.0524097 51.3995669, -0.0524495 51.3995709, -0.0525228 51.3995618, -0.0525695 51.3995649, -0.0525898 51.3995938, -0.0526641 51.3996167, -0.0527014 51.3996363, -0.0527104 51.399672, -0.0526969 51.3997339, -0.0527251 51.399767, -0.0527772 51.3997754, -0.0527887 51.3998161, -0.0528273 51.3998435, -0.0529614 51.3997994, -0.0529631 51.3997635, -0.0529627 51.3997243, -0.0530126 51.3996988, -0.0531079 51.3996844, -0.0531508 51.3996293, -0.0531386 51.3995624))",,scrub,,,,,,,,,,"[21577833, 373116910, 373116911, 373117085, 21577834, 2404105644, 373117086, 2404105647, 2404105648, 2404105653, 21577835, 2404105651, 2404105652, 373117087, 2404105655, 2404105656, 373117088, 2404105664, 373117089, 2404105667, 2404105669, 21577836, 2404105668, 2404105666, 373117090, 2404105660, 2404105658, 373117092, 21577833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4931903 51.5963513, -0.4926753 51.596202, -0.4922977 51.5961807, -0.4927011 51.5966606, -0.4930701 51.5966712, -0.493259 51.5965539, -0.4931903 51.5963513))",,scrub,,,,,,,,,,"[60264432, 60264433, 60264434, 60264435, 60264436, 60264437, 60264432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSM,"POLYGON ((-0.4066865 51.4904992, -0.4063125 51.4907574, -0.4060721 51.4912293, -0.4038728 51.4907574, -0.4046653 51.488843, -0.4066865 51.4904992))",,scrub,,,,,,,,,,"[92273168, 92273169, 92273170, 92273171, 92273172, 92273168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4079971 51.49793, -0.408688 51.4977319, -0.4092313 51.4974064, -0.409275 51.4972481, -0.4093066 51.4970889, -0.4094665 51.4961062, -0.4095838 51.494553, -0.4095512 51.4941835, -0.4097163 51.4930248, -0.409464 51.4927725, -0.4035338 51.4914026, -0.4031299 51.4922627, -0.4022502 51.4934818, -0.4018157 51.4942533, -0.4021189 51.4942865, -0.4093043 51.4948177, -0.4089061 51.4974079, -0.4087285 51.4975099, -0.4079971 51.49793))",,scrub,,,,,,,,,,"[92560341, 92560342, 92560345, 9688472746, 9688472747, 9688472748, 6481637739, 6481637738, 92560350, 92560354, 92560357, 4556964475, 4556964474, 4556964473, 92560317, 92560319, 4556934001, 4556952151, 92560341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0083532 51.5404849, -0.0076239 51.540377, -0.0065476 51.540366, -0.0064389 51.5403721, -0.0061507 51.5404402, -0.0057564 51.5405374, -0.0074027 51.5390714, -0.0073107 51.5395899, -0.0074823 51.5399636, -0.0077913 51.5402839, -0.0083532 51.5404849))",,scrub,,,,,,,,,,"[181321647, 181321648, 181321649, 1607115550, 1607115551, 181321650, 181321651, 181321652, 181321653, 181321654, 181321647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.388046 51.4278692, -0.3871472 51.4282048, -0.3858719 51.4286408, -0.385711 51.4284602, -0.3854308 51.4281272, -0.3857437 51.4279876, -0.3861479 51.4278408, -0.3863792 51.4276311, -0.386443 51.4274481, -0.3865405 51.4273864, -0.3867202 51.4274108, -0.3873056 51.4271378, -0.3873375 51.4269664, -0.3872543 51.4267337, -0.3871856 51.4265682, -0.3872871 51.4266968, -0.3881761 51.4276897, -0.3885253 51.4279629, -0.388358 51.4280226, -0.3882931 51.428059, -0.388046 51.4278692))",Oak Avenue Nature Reserve,scrub,,,,Q17016440,,,,,,"[246836731, 801340367, 246836732, 801339823, 8004017680, 8006565714, 566731455, 8009015180, 566731458, 566731461, 566731465, 566731467, 566731468, 8004030321, 6481652655, 3421576191, 8004017679, 247884519, 801339963, 801340264, 246836731]",nature_reserve,en:Oak Avenue Local Nature Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3801785 51.4412903, -0.3798144 51.4411502, -0.3797865 51.441178, -0.3796761 51.4411177, -0.3795467 51.4410178, -0.3795315 51.4409525, -0.3795576 51.4408932, -0.3798799 51.4405671, -0.3804153 51.4407897, -0.3806134 51.4408651, -0.3801785 51.4412903))",East Hanworth Community Centre,scrub,,derelict,,,,,,,,"[248829571, 566765251, 6326855508, 9377297877, 249065499, 9377297878, 249065500, 249065497, 248829578, 248829579, 248829571]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4447908 51.4844471, -0.4442275 51.4843074, -0.443876 51.4842713, -0.4435651 51.4843029, -0.4431821 51.4842082, -0.4432632 51.4830457, -0.4428974 51.4830129, -0.4428956 51.4827164, -0.4428979 51.4824381, -0.4430559 51.4823517, -0.4444123 51.4837081, -0.4447908 51.4844471))",,scrub,,,,,,,,,,"[249856152, 249856153, 249856154, 249856143, 249856157, 249856158, 251385725, 9484641392, 251385724, 249856159, 249856160, 249856152]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4062233 51.4335223, -0.4060345 51.4335016, -0.4059479 51.4331984, -0.4058354 51.4330126, -0.4056308 51.4327133, -0.4054781 51.4324016, -0.4051867 51.4314068, -0.4050495 51.4310899, -0.4049539 51.4309842, -0.4049116 51.4309342, -0.4048509 51.4308703, -0.4046208 51.4307688, -0.4047088 51.4307551, -0.4047262 51.4307387, -0.4047329 51.4307191, -0.4047282 51.4307003, -0.4047224 51.4306936, -0.4049132 51.4306255, -0.4050898 51.4307322, -0.4053119 51.4308663, -0.4062233 51.4335223))",,scrub,,,,,,,,,,"[2597126456, 2597126455, 3729157209, 16481885, 3729157208, 254381413, 3729157207, 16481884, 7364938950, 7364938952, 254381420, 254381421, 1679196348, 1679196401, 1679196398, 1679196354, 1679196387, 1679196366, 7365054875, 253978069, 2597126456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
