created_by,name,tourism,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,brand,contact:facebook,email,fax,internet_access,operator,phone,rooms,smoking,stars,website,wheelchair,wikidata,brand:wikidata,brand:wikipedia,fhrs:id,internet_access:fee,internet_access:operator,internet_access:ssid,name:zh,source,source:addr,amenity,addr:country,contact:twitter,payment:american_express,addr:housename,fhrs:local_authority_id,fhrs:confidence_management,fhrs:hygiene,fhrs:rating,fhrs:structural,source:postcode,check_date,old_name,fhrs:authority,contact:email,contact:fax,contact:phone,contact:website,name:full,addr:place,addr:interpolation,toilets:wheelchair,contact:instagram,contact:linkedin,air_conditioning,postal_code,entrance,cuisine,restaurant,payment:lightning,fhrs:note,name:ja,addr:suburb,alt_name,url,building,start_date,fixme,opening_hours,name:botanical,note,name:en,access,description,historic,level,loc_name,addr:floor,branch,wheelchair:description,not:addr:postcode,material,wikipedia,operator:wikidata,contact:pinterest,ref,pets_allowed,official_name,source:addr:postcode,fhrs:name,dog,old_fhrs:id,toilets,checkfirst:suggested:name,payment:credit_cards,payment:diners_club,payment:discover_card,payment:mastercard,payment:visa,source:name,parking,bar,addr:county,survey:date,note:addr:postcode,nodes,building:levels,building:levels:underground,architect,owner,atm,building:material,roof:levels,building:colour,roof:colour,roof:material,roof:shape,name:ko,building:min_level,contact:youtube,building:use,reservation,name:es,layer,levels,name:fa,addr:hamlet,old_name:1906-2013,name:pl,source:building,fhrs:inspectiondate,contact:google_plus,check_date:internet_access,designation,stairs,payment:cash,old_operator,short_name,twitter,addr:unit,source:building:levels,source:addr:housenumber,source:operator,building:architecture,building:cladding,image,dontimport:fhrs:addrline3,name:el,accommodation,food,outdoor_seating,listed_status,ref:GB:uprn,hotel,landuse,was:amenity,payment:cheque,payment:maestro,payment:visa_electron,brewery,opening_hours:kitchen,source:rooms,roof:orientation,wheelchair:description:en,opening_date,breakfast,toilets:access,building:part,facebook,instagram,guest_house,payment:contactless,construction,not:brand:wikidata,swimming_pool,beer_garden,height,ways,type,contact:vk,building:start_date
JOSM,Novotel,hotel,POINT (-0.4558534 51.4975442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crowne Plaza,hotel,POINT (-0.4542096 51.4994407),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSM,Sundridge Park hotel and conference Ctr,hotel,POINT (0.0372264 51.4170299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DoubleTree by Hilton Hotel London - Marble Arch,hotel,POINT (-0.1566381 51.514571),London,4,W1H 7BY,Bryanston Street,DoubleTree by Hilton,http://www.facebook.com/DoubleTreeByHiltonMarbleArch,doubletreelondonmarblearch.reservations@hilton.com,+44 20 7487 2759,yes,Hilton,+44 20 7935 2361,122,no,4,https://www.hilton.com/en/hotels/lonmadi-doubletree-london-marble-arch/?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6LONMADI,yes,Q30504052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,easyHotel Victoria,hotel,POINT (-0.1420048 51.4919882),London,36-40,SW1V 1RG,Belgrave Road,easyHotel,,,,,easyHotel,,,,,,,,Q17011598,en:EasyHotel,410802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Premier Inn,hotel,POINT (-0.1805806 51.4140867),,27,SW19 2RF,Chapter Way,Premier Inn,,,,wlan,,,,,,,,,Q2108626,en:Premier Inn,232174,customers,Virgin Media,Premier Inn Free Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crestfield Hotel,hotel,POINT (-0.1224147 51.5297557),London,2-4,WC1H 8AT,Crestfield Street,,,,,,,,,,,,,,,,426365,,,,伦敦克莱斯特菲尔德酒店,Walking papers,FHRS Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kings Cross Inn Hotel,hotel,POINT (-0.1229357 51.5302618),London,9-11,NW1 2SA,Euston Road,,,,,,,,,,,,,,,,516239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victoria Park Plaza,hotel,POINT (-0.1417547 51.4944034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holiday Inn,hotel,POINT (-0.1966293 51.3617505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
