geometry,created_by,barrier,natural,nodes,landuse,leisure,name,surface,note,building,source,source:name,ways,type,wikidata,designation,not:name,source:designation,operator
"POLYGON ((0.0810516 51.453866, 0.0810712 51.4538318, 0.0809076 51.4536408, 0.0807234 51.4533716, 0.0805205 51.4529486, 0.0804651 51.4529329, 0.0804187 51.4529545, 0.0798744 51.4537285, 0.0795345 51.4540786, 0.0795977 51.454129, 0.0810516 51.453866))",,,,"[26375036, 10271055624, 10271055644, 10271055623, 10271055622, 10271055643, 26375037, 10271055626, 10271055625, 26375035, 26375036]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.3805395 51.4751035, -0.3804313 51.4751333, -0.3803161 51.4751507, -0.3801159 51.4751732, -0.3800448 51.4750949, -0.3801306 51.4750584, -0.3802772 51.4750385, -0.3804871 51.4750139, -0.3805499 51.4750461, -0.3805395 51.4751035))",,,,"[33116104, 33116105, 33116096, 33116097, 33116098, 33116099, 33116100, 33116102, 33116103, 33116104]",village_green,park,,,,,,,,,,,,,
"POLYGON ((-0.378928 51.4690769, -0.3789781 51.4695641, -0.3793093 51.4695526, -0.3793093 51.4696025, -0.3802014 51.4695824, -0.3801732 51.4691974, -0.3797631 51.4692133, -0.379715 51.4688652, -0.3791426 51.4688585, -0.3791745 51.4690663, -0.378928 51.4690769))",,,,"[2600536624, 561420051, 2600536631, 2600536632, 2600536633, 2600536630, 2600536628, 2600536627, 2600536626, 2600536625, 2600536624]",village_green,,,,,,,,,,,,,,
"POLYGON ((0.1828397 51.6155855, 0.18351 51.6158295, 0.1834603 51.6159931, 0.1834478 51.6160501, 0.1832307 51.6167758, 0.1830929 51.6167902, 0.182822 51.6166866, 0.1825968 51.616584, 0.1825735 51.6165129, 0.1826847 51.616519, 0.1827829 51.615922, 0.1828397 51.6155855))",,,,"[38898573, 38898574, 6327959211, 38898575, 2431376744, 38898577, 38898578, 38898580, 2996475036, 2996475039, 2996475042, 38898573]",village_green,,The Green,,,,,,,,,,,,
"POLYGON ((-0.3694797 51.4156647, -0.3693801 51.4156551, -0.36917 51.4156177, -0.3681537 51.4153185, -0.3681023 51.4152704, -0.368113 51.4152133, -0.3683501 51.4149186, -0.3683199 51.4149049, -0.3683937 51.4148308, -0.3685068 51.4147557, -0.3686635 51.4146998, -0.3687985 51.4146837, -0.3689363 51.4146814, -0.3691652 51.414715, -0.3694717 51.41481, -0.3696497 51.4148952, -0.3697592 51.4150053, -0.3698014 51.4150567, -0.3698459 51.4151509, -0.3698098 51.4153576, -0.3697482 51.4155913, -0.3697138 51.4156261, -0.369643 51.4156554, -0.3695705 51.4156671, -0.3694797 51.4156647))",,,,"[206148567, 206147945, 3393783886, 206148085, 9407922784, 206148090, 206148091, 9407922782, 206148152, 206148179, 206148311, 9407922783, 206148385, 206148390, 206148428, 206148438, 206148456, 206148479, 206148519, 9407922777, 9407922776, 3393783885, 9407922775, 3393783884, 206148567]",village_green,park,Hampton Village Green,,,,,,,,,,,,
"POLYGON ((-0.3398482 51.5070523, -0.3401858 51.507707, -0.3406861 51.5075585, -0.3406384 51.5071775, -0.3398482 51.5070523))",,,,"[251775985, 251775986, 251775987, 251775988, 251775985]",village_green,,Boston Place,,,,,,,,,,,,
"POLYGON ((-0.1476862 51.3478023, -0.1471634 51.3471761, -0.1470226 51.3466889, -0.1469348 51.3467893, -0.146851 51.3469301, -0.1465798 51.3474146, -0.1461949 51.3480998, -0.1460871 51.3482918, -0.1458401 51.349004, -0.1464984 51.3485809, -0.1466491 51.348484, -0.1471232 51.3481793, -0.1476862 51.3478023))",,,,"[52248323, 52248325, 115670774, 248499231, 115670777, 115670779, 10273523049, 115670781, 115669836, 10273523045, 7509114164, 115671082, 52248323]",village_green,,Woodcote Green,,,,,,,,,,,,
"POLYGON ((-0.3686535 51.5475793, -0.3687196 51.5475321, -0.3706378 51.5461617, -0.37035 51.5460053, -0.3701503 51.5457693, -0.3700187 51.5454756, -0.3699695 51.5452666, -0.369975 51.5450324, -0.3699491 51.5449812, -0.3697135 51.5450393, -0.3697218 51.545192, -0.3696191 51.5455845, -0.3695471 51.5459078, -0.3693835 51.5462266, -0.3692185 51.5465317, -0.3690204 51.5470156, -0.3687984 51.5471267, -0.3685999 51.5475573, -0.3686535 51.5475793))",,,,"[267879614, 10315035458, 267879615, 267879616, 267879617, 267879618, 2318562869, 2318562867, 267879619, 32351840, 267879620, 267879621, 267879622, 267879623, 267879624, 2318458363, 267879625, 2319573500, 267879614]",village_green,,Mandeville Green,,,,,,,,,,,,
"POLYGON ((0.001566 51.631393, 0.0015904 51.6309211, 0.0016631 51.6308828, 0.0021986 51.6311205, 0.00282 51.6313055, 0.0027429 51.631384, 0.001566 51.631393))",,,,"[276315726, 1437646260, 276315727, 1437646259, 276315728, 276315729, 276315726]",village_green,,Chingford Green,,,,,,,,,,,,
"POLYGON ((-0.2939164 51.5424684, -0.2929883 51.5423884, -0.2930903 51.5419879, -0.2939539 51.5420513, -0.2939164 51.5424684))",Merkaartor 0.13,,,"[303299581, 303299582, 303299583, 303299584, 303299581]",village_green,,Mount Pleasant Open Space,,,,,,,,,,,,
"POLYGON ((-0.2941446 51.3665066, -0.2926089 51.3661594, -0.292556 51.3661765, -0.2918191 51.3669034, -0.292113 51.366977, -0.2921651 51.3669724, -0.2921939 51.3669494, -0.2922865 51.3668474, -0.2924194 51.3667584, -0.292622 51.3666706, -0.2928412 51.3666143, -0.2932176 51.3665923, -0.2936639 51.3666566, -0.2938785 51.3666888, -0.2939558 51.366678, -0.2940073 51.3666673, -0.2941446 51.3665066))",,,,"[304778556, 1546873146, 304778557, 304778558, 1546873160, 3172212667, 304778559, 3171978417, 304778560, 3171978414, 304778561, 304778562, 304778563, 304778564, 304778565, 304778566, 304778556]",village_green,,,grass,,,,,,,,,,,
"POLYGON ((-0.3398896 51.5703799, -0.3399067 51.5704424, -0.3398831 51.5704984, -0.3398521 51.570531, -0.3398124 51.570561, -0.3397899 51.5705683, -0.3397602 51.570573, -0.339731 51.570571, -0.3397259 51.5705589, -0.3397581 51.5704226, -0.3397961 51.5702511, -0.3398169 51.5702595, -0.339831 51.57027, -0.3398455 51.5702896, -0.3398565 51.5703091, -0.3398896 51.5703799))",,,,"[322110815, 322110816, 322110817, 322110818, 322110820, 322110830, 322110836, 322110831, 322110842, 322110837, 322110832, 322110854, 322110833, 322110862, 322110834, 322110815]",village_green,,The Green,,"Harrow on the Hill Village Green with Gantry displaying portrait of King Henry VIII. It marks the spot where horse drawn coaches would turn around outside the old Kings Head Hotel, now apartments.",,,,,,,,,,
"POLYGON ((-0.0094928 51.5738382, -0.0094828 51.5738855, -0.0094369 51.5739051, -0.0094039 51.5738953, -0.009371 51.5739094, -0.0093744 51.5739319, -0.0092513 51.5739847, -0.0092189 51.5739744, -0.0091874 51.5739879, -0.0091926 51.5740099, -0.0091503 51.574028, -0.0090912 51.5739989, -0.0090851 51.5739282, -0.0091208 51.5739171, -0.009119 51.5738957, -0.0090815 51.5738861, -0.0090745 51.573804, -0.0091102 51.57379, -0.0091085 51.5737703, -0.0090708 51.5737619, -0.0090657 51.5737021, -0.0091278 51.5736817, -0.0091744 51.5737017, -0.0091723 51.5737245, -0.0092036 51.573738, -0.0092366 51.5737283, -0.0093949 51.5737962, -0.0093891 51.5738188, -0.0094288 51.5738359, -0.0094613 51.5738247, -0.0094928 51.5738382))",,wall,,"[4589002147, 2700236084, 4516509666, 4589249148, 4589249147, 4516509665, 4589002162, 4589249146, 4589249145, 4589002163, 2700236085, 2700236082, 4589002156, 4589249144, 4589249143, 4589002155, 4589002154, 4589249142, 4589249141, 4589002153, 2700236083, 4589002146, 4589002145, 4589249152, 4589249151, 4589002144, 4589002141, 4589249150, 4589249149, 4589002140, 4589002147]",village_green,,Leyton Green,,,,,,,,,,,,
"POLYGON ((-0.0328374 51.5986771, -0.0327258 51.5986901, -0.0325279 51.5985835, -0.0322394 51.5984558, -0.0317582 51.5982888, -0.031794 51.5982382, -0.0318705 51.5981974, -0.0324604 51.5981255, -0.0327234 51.5982196, -0.0328374 51.5986771))",,,,"[366725654, 366725655, 6141624829, 366725656, 366725657, 366725658, 366725659, 366725660, 366725661, 366725654]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.032501 51.5986849, -0.0324934 51.5987031, -0.0321338 51.5987262, -0.0319058 51.5986495, -0.0318293 51.5984529, -0.0318667 51.5984355, -0.0321359 51.5985283, -0.032501 51.5986849))",,,,"[366725674, 366725675, 1430005620, 366725677, 366725678, 1430005619, 366725679, 366725674]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.0045538 51.5389246, -0.0048299 51.5389477, -0.0047528 51.5393804, -0.0045785 51.5393789, -0.0044222 51.5393769, -0.0044585 51.5391069, -0.0040644 51.5390863, -0.0041187 51.538808, -0.004342 51.538815, -0.0045538 51.5389246))",,,,"[9629762263, 392390979, 392390972, 9629761290, 392390973, 392390974, 392390970, 392390976, 9629762262, 9629762263]",village_green,,,,Not a park - reverted. This is just a small green open space,,,,,,,,,,
"POLYGON ((-0.0054373 51.5374178, -0.0053946 51.5374503, -0.0053423 51.5374783, -0.0053052 51.5374891, -0.0051229 51.5374886, -0.0051229 51.53744, -0.0049619 51.5374382, -0.0049942 51.537185, -0.0051739 51.537175, -0.0054373 51.5374178))",,,,"[392391249, 9633830766, 9633830767, 392391255, 4672118008, 4672118016, 392391261, 392391268, 392391274, 392391249]",village_green,,James Riley Point Garden,,Not a park - reverted. This is just a small green,,,,,,,,,,
"POLYGON ((-0.2050861 51.4172143, -0.205081 51.4172506, -0.2050614 51.4172833, -0.2050026 51.4173083, -0.2049382 51.4173133, -0.2048839 51.4172991, -0.2048441 51.4172692, -0.2047823 51.4172964, -0.2047431 51.4173393, -0.2047256 51.4173894, -0.2047287 51.4174465, -0.204914 51.4177663, -0.2050519 51.4177804, -0.2050834 51.4177369, -0.2051432 51.4177237, -0.2052064 51.4177319, -0.205258 51.41776, -0.2052584 51.4177965, -0.2053671 51.4177916, -0.2053708 51.4176411, -0.2053419 51.4174697, -0.20526 51.4172951, -0.2051776 51.4172275, -0.2050861 51.4172143))",,,,"[392675843, 8252869402, 392675844, 8252869404, 392675845, 8252869403, 392675846, 392675892, 8252869401, 8252869400, 392675893, 392675894, 392675847, 392675848, 392675849, 8252869396, 392675850, 392675851, 392675853, 392675854, 8252869397, 392675855, 392675895, 392675843]",village_green,,,,,,,,,,,,,,
