,geo_code,Names,Borough,Population,Hectares,Square Kilometres,Population per hectare,pop_density,Unnamed: 8,Census population (2011),Population per hectare.1
0,E09000001,City of London,City of London,0,315.1,3.2,0.0,0.0,,7375,23.4
1,E05000026,Abbey,Barking and Dagenham,8289,127.9,1.3,64.8,6481.0,,12786,100.0
2,E05000027,Alibon,Barking and Dagenham,17574,136.1,1.4,129.1,12913.0,,10385,76.3
3,E05000028,Becontree,Barking and Dagenham,11324,128.4,1.3,88.2,8819.0,,11545,89.9
4,E05000029,Chadwell Heath,Barking and Dagenham,14751,338.0,3.4,43.6,4364.0,,10021,29.6
5,E05000030,Eastbrook,Barking and Dagenham,11240,345.4,3.5,32.5,3254.0,,10506,30.4
6,E05000031,Eastbury,Barking and Dagenham,10964,144.5,1.4,75.9,7588.0,,11624,80.4
7,E05000032,Gascoigne,Barking and Dagenham,12263,113.4,1.1,108.1,10814.0,,12452,109.8
8,E05000033,Goresbrook,Barking and Dagenham,17432,128.0,1.3,136.2,13619.0,,11267,88.0
9,E05000034,Heath,Barking and Dagenham,12496,200.5,2.0,62.3,6232.0,,10786,53.8
10,E05000035,Longbridge,Barking and Dagenham,11832,164.0,1.6,72.1,7215.0,,11478,70.0
11,E05000036,Mayesbrook,Barking and Dagenham,12153,185.1,1.9,65.7,6566.0,,10342,55.9
12,E05000037,Parsloes,Barking and Dagenham,11317,124.3,1.2,91.0,9105.0,,9839,79.2
13,E05000038,River,Barking and Dagenham,10306,355.2,3.6,29.0,2901.0,,10923,30.8
14,E05000039,Thames,Barking and Dagenham,14146,788.4,7.9,17.9,1794.0,,10728,13.6
15,E05000040,Valence,Barking and Dagenham,21082,129.3,1.3,163.0,16305.0,,9867,76.3
16,E05000041,Village,Barking and Dagenham,11709,214.0,2.1,54.7,5471.0,,10787,50.4
17,E05000042,Whalebone,Barking and Dagenham,11043,155.4,1.6,71.1,7106.0,,10575,68.1
18,E05000043,Brunswick Park,Barnet,12771,317.4,3.2,40.2,4024.0,,16394,51.7
19,E05000044,Burnt Oak,Barnet,16787,206.4,2.1,81.3,8133.0,,18217,88.3
20,E05000045,Childs Hill,Barnet,20202,308.9,3.1,65.4,6540.0,,20049,64.9
21,E05000046,Colindale,Barnet,22858,264.2,2.6,86.5,8652.0,,17098,64.7
22,E05000047,Coppetts,Barnet,33098,272.0,2.7,121.7,12168.0,,17250,63.4
23,E05000048,East Barnet,Barnet,17726,375.2,3.8,47.2,4724.0,,16137,43.0
24,E05000049,East Finchley,Barnet,17771,252.4,2.5,70.4,7041.0,,15989,63.3
25,E05000050,Edgware,Barnet,17268,556.0,5.6,31.1,3106.0,,16728,30.1
26,E05000051,Finchley Church End,Barnet,21591,270.9,2.7,79.7,7970.0,,15715,58.0
27,E05000052,Garden Suburb,Barnet,17095,473.1,4.7,36.1,3613.0,,15929,33.7
28,E05000053,Golders Green,Barnet,16831,297.8,3.0,56.5,5652.0,,18818,63.2
29,E05000054,Hale,Barnet,23985,542.2,5.4,44.2,4424.0,,17437,32.2
30,E05000055,Hendon,Barnet,18741,284.0,2.8,66.0,6599.0,,18472,65.0
31,E05000056,High Barnet,Barnet,20159,830.9,8.3,24.3,2426.0,,15307,18.4
32,E05000057,Mill Hill,Barnet,16064,938.7,9.4,17.1,1711.0,,18451,19.7
33,E05000058,Oakleigh,Barnet,25613,331.7,3.3,77.2,7722.0,,15811,47.7
34,E05000059,Totteridge,Barnet,17029,876.8,8.8,19.4,1942.0,,15159,17.3
35,E05000060,Underhill,Barnet,17730,455.2,4.6,38.9,3895.0,,15915,35.0
36,E05000061,West Finchley,Barnet,16592,216.1,2.2,76.8,7678.0,,16533,76.5
37,E05000062,West Hendon,Barnet,17794,342.6,3.4,51.9,5194.0,,17402,50.8
38,E05000063,Woodhouse,Barnet,21265,261.2,2.6,81.4,8141.0,,17575,67.3
39,E05000064,Barnehurst,Bexley,18844,287.0,2.9,65.7,6566.0,,10418,36.3
40,E05000065,Belvedere,Bexley,11441,316.1,3.2,36.2,3619.0,,11890,37.6
41,E05000066,Blackfen and Lamorbey,Bexley,13709,168.7,1.7,81.3,8126.0,,10616,62.9
42,E05000067,Blendon and Penhill,Bexley,10973,209.8,2.1,52.3,5230.0,,10910,52.0
43,E05000068,Brampton,Bexley,11000,197.3,2.0,55.8,5575.0,,10546,53.5
